inheritance_mode,fidelity,treatment,baseline,policy,contrast,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,eval_heldout_delta_cue,0.00043862810357062537,-0.01933119831946719,0.022344869740050406,30,0.4666666666666667,0.007372547970218913
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,rate,-0.007461276214688902,-0.01090029570266656,-0.003908961233858704,30,0.8666666666666667,-0.7674846972304747
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,delta_cue,0.006986339563321422,0.002414529650869389,0.011277149190086166,30,0.7666666666666667,0.5370550631602327
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,delta_true,0.014885879992124946,0.010144923523496182,0.01960929927678107,30,0.8333333333333334,1.0971033450550836
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,realised_enforcement,0.06677961595480249,0.05622016903539605,0.07707596534852015,30,0.9666666666666667,2.2645485328050166
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,mean_mask_overlap,0.08302875586854458,0.08130228873239438,0.08480068955399062,30,1.0,16.330406150892124
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,mean_weight_kl,0.7210601632357171,0.716018178288822,0.7261060586938336,30,1.0,50.18877901619415
baldwinian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,eval_heldout_delta_cue,-0.01647751612946564,-0.04465424355414836,0.010287897241200515,30,0.5333333333333333,-0.2126141240259235
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,rate,0.0045488111566846755,0.0011837235079787786,0.007950880837152903,30,0.6333333333333333,0.4669390134070602
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,delta_cue,-0.009509846341728072,-0.013895191159951302,-0.005107249017300268,30,0.7666666666666667,-0.7553868290716887
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,delta_true,-0.015784546719241312,-0.02043311403780575,-0.011036766896795542,30,0.8333333333333334,-1.1710126635960825
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,realised_enforcement,-0.04655651712605494,-0.056745993847356936,-0.03523258743017836,30,0.9,-1.5328882714037395
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,mean_mask_overlap,-0.07126643192488265,-0.07301646126760565,-0.06953512323943664,30,1.0,-14.593851587770896
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,mean_weight_kl,-0.6974813483414456,-0.7024819595450841,-0.6923879352116091,30,1.0,-48.788456176092446
baldwinian,0.7,A_f0.7_cells,A_f0.7_blind,adaptive_cells,cells-blind,eval_heldout_delta_cue,0.004169632544217753,-0.02461178176214637,0.03611358345847505,30,0.43333333333333335,0.0490517637269219
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,rate,0.001443366840825834,-0.0011303904557336119,0.004203408793049117,30,0.5666666666666667,0.18418767063464925
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,delta_cue,0.0036390787950010763,-0.0006150404240112004,0.007725022760860667,30,0.6333333333333333,0.30110088372202937
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,delta_true,0.0013126822120170477,-0.002191283234368169,0.005288179932620028,30,0.5333333333333333,0.11966252547722768
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,realised_enforcement,0.0019587491654054472,-0.008933091644291232,0.012809056608181688,30,0.4666666666666667,0.0613402330509441
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,mean_mask_overlap,0.026416666666666658,0.024686414319248822,0.02808174882629101,30,1.0,5.441131242873458
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,mean_weight_kl,0.04821329914045491,0.04724577107646056,0.04925346424003454,30,1.0,17.15605592819464
baldwinian,0.7,A_f0.7_move,A_f0.7_cells,adaptive_move,move-cells,eval_heldout_delta_cue,0.012746511688818518,-0.014771990281799747,0.04339140026699697,30,0.5666666666666667,0.1514333487899892
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,rate,-0.0005306699650591347,-0.004711162032612501,0.0033293473974899896,30,0.5,-0.04588021449194676
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,delta_cue,0.0044076434112466775,-0.0009684744754769457,0.009966307366082741,30,0.6,0.2719438051440123
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,delta_true,0.004295447273489618,-0.0010221277755235606,0.009731214454750526,30,0.6333333333333333,0.27060645592800614
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,realised_enforcement,0.007922709872796523,-0.00399660439298439,0.01999120883576887,30,0.6333333333333333,0.22828291453006447
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,mean_mask_overlap,0.009130281690140825,0.007608524061032827,0.010637998826291056,30,1.0,2.0666840362739682
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,mean_weight_kl,0.021091965348247445,0.020605948555590156,0.021605915488489842,30,1.0,14.34638103678447
baldwinian,0.9,A_f0.9_cells,C3_f0.9,adaptive_cells,adaptive-static,eval_heldout_delta_cue,0.034703042755810376,-0.0008111816126913293,0.07509795615145307,30,0.6,0.3139707527212694
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,rate,-0.0012462460188536967,-0.005334218879771091,0.003144514923947696,30,0.5333333333333333,-0.10218573374696902
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,delta_cue,-0.0006634540941183831,-0.006195143356061775,0.004557692346087271,30,0.6,-0.04172109834822359
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,delta_true,0.0002441514096501283,-0.005089073833246828,0.005486778765042936,30,0.5,0.01572143014528985
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,realised_enforcement,0.01838240502338439,0.0052149478437302586,0.031669337959093234,30,0.7,0.48583029947806294
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,mean_mask_overlap,0.038059272300469495,0.03647146420187791,0.03957574823943659,30,1.0,8.240973841475212
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,mean_weight_kl,0.07018586475996727,0.06912956205920891,0.07128630887316992,30,1.0,22.194861591239796
baldwinian,0.9,A_f0.9_move,C3_f0.9,adaptive_move,adaptive-static,eval_heldout_delta_cue,0.019297062263485067,-0.01590444512023938,0.053652917938486026,30,0.5666666666666667,0.19196977665763662
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,rate,-0.007761734345766524,-0.012739628973641573,-0.002689763445456073,30,0.7333333333333333,-0.5428557685155385
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,delta_cue,0.009426727744065886,0.004234032196369966,0.014693905152876623,30,0.7,0.6201959752300242
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,delta_true,0.011937751679390618,0.006738186210953848,0.017369681145482437,30,0.7666666666666667,0.7785044003030173
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,realised_enforcement,0.07405620291993785,0.06038910860755986,0.08900121289721884,30,0.9666666666666667,1.7616839534223674
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,mean_mask_overlap,0.08308157276995307,0.0809197769953052,0.08523915786384978,30,1.0,13.612484034802689
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,mean_weight_kl,0.7258474511933747,0.7192061431369704,0.7318648734096367,30,1.0,40.44142645295513
baldwinian,0.9,A_f0.9_blind,C3_f0.9,adaptive_blind,adaptive-static,eval_heldout_delta_cue,0.018766119293763785,-0.01839004984555746,0.058707236496379246,30,0.5666666666666667,0.17138594325468184
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,rate,0.00723106438070739,0.002904016122195736,0.01150962300852897,30,0.7666666666666667,0.5715226172701218
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,delta_cue,-0.005019084332819209,-0.010816802361387675,0.000809265842388143,30,0.7333333333333333,-0.2958883373789281
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,delta_true,-0.007642304405901002,-0.013770295399492708,-0.0015848011845818342,30,0.7,-0.4302952727783962
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,realised_enforcement,-0.06613349304714132,-0.080498111571052,-0.0524408133345641,30,0.9666666666666667,-1.622600688967867
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,mean_mask_overlap,-0.07395129107981223,-0.07588557805164327,-0.07211616784037561,30,1.0,-14.0010760046293
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,mean_weight_kl,-0.704755485845127,-0.7107096485472215,-0.698146425731315,30,1.0,-39.49273631069254
baldwinian,0.9,A_f0.9_cells,A_f0.9_blind,adaptive_cells,cells-blind,eval_heldout_delta_cue,0.015936923462046587,-0.030733706130657092,0.06839564686176115,30,0.5666666666666667,0.11394806209032428
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,rate,-0.000715576053794562,-0.005041891130308312,0.0036621172552941082,30,0.6,-0.05798756524306966
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,delta_cue,-0.0050710975053650615,-0.010612638172225245,0.0004505896441470849,30,0.5666666666666667,-0.32683568769726196
