run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C1__baldwinian__s18,C1__baldwinian,C1,C1,baldwinian,18,0.5,0.0,6.0,0,3.0,0.4613804437140509,1800,0,50,608,588,558,0,0
C1__baldwinian__s19,C1__baldwinian,C1,C1,baldwinian,19,0.5,0.0,6.0,0,3.0,0.4761301225179552,1800,0,50,573,553,523,0,0
C1__baldwinian__s20,C1__baldwinian,C1,C1,baldwinian,20,0.5,0.0,6.0,0,3.0,0.4825479930191972,1800,0,50,665,645,615,0,0
C1__baldwinian__s21,C1__baldwinian,C1,C1,baldwinian,21,0.5,0.0,6.0,0,3.0,0.4797999230473259,1800,0,50,691,671,641,0,0
C1__baldwinian__s22,C1__baldwinian,C1,C1,baldwinian,22,0.5,0.0,6.0,0,3.0,0.4612176814011676,1800,0,50,650,630,600,0,0
C1__baldwinian__s23,C1__baldwinian,C1,C1,baldwinian,23,0.5,0.0,6.0,0,3.0,0.4694702790133441,1800,0,50,640,620,590,0,0
C1__baldwinian__s24,C1__baldwinian,C1,C1,baldwinian,24,0.5,0.0,6.0,0,3.0,0.4674147604661199,1800,0,50,579,559,529,0,0
C1__baldwinian__s25,C1__baldwinian,C1,C1,baldwinian,25,0.5,0.0,6.0,0,3.0,0.4761061946902655,1800,0,50,600,580,550,0,0
C1__baldwinian__s26,C1__baldwinian,C1,C1,baldwinian,26,0.5,0.0,6.0,0,3.0,0.4630927835051546,1800,0,50,604,584,554,0,0
C1__baldwinian__s27,C1__baldwinian,C1,C1,baldwinian,27,0.5,0.0,6.0,0,3.0,0.475816453079785,1800,0,50,591,571,541,0,0
C1__baldwinian__s28,C1__baldwinian,C1,C1,baldwinian,28,0.5,0.0,6.0,0,3.0,0.4755572937035588,1800,0,50,695,675,645,0,0
C1__baldwinian__s29,C1__baldwinian,C1,C1,baldwinian,29,0.5,0.0,6.0,0,3.0,0.4807692307692308,1800,0,50,678,658,628,0,0
C1__baldwinian__s30,C1__baldwinian,C1,C1,baldwinian,30,0.5,0.0,6.0,0,3.0,0.4816996213714766,1800,0,50,579,559,529,0,0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,0.5,0.0,6.0,0,3.0,0.4696521095484826,1800,0,50,525,505,475,505,0
C1__lamarckian__s2,C1__lamarckian,C1,C1,lamarckian,2,0.5,0.0,6.0,0,3.0,0.4604596805609661,1800,0,50,536,516,486,516,0
C1__lamarckian__s3,C1__lamarckian,C1,C1,lamarckian,3,0.5,0.0,6.0,0,3.0,0.4821218074656188,1800,0,50,541,521,491,521,0
C1__lamarckian__s4,C1__lamarckian,C1,C1,lamarckian,4,0.5,0.0,6.0,0,3.0,0.48984375,1800,0,50,512,492,462,492,0
C1__lamarckian__s5,C1__lamarckian,C1,C1,lamarckian,5,0.5,0.0,6.0,0,3.0,0.4751359751359751,1800,0,50,465,445,415,445,0
C1__lamarckian__s6,C1__lamarckian,C1,C1,lamarckian,6,0.5,0.0,6.0,0,3.0,0.4838449111470113,1800,0,50,471,451,421,451,0
C1__lamarckian__s7,C1__lamarckian,C1,C1,lamarckian,7,0.5,0.0,6.0,0,3.0,0.4902255639097744,1800,0,50,553,533,503,533,0
C1__lamarckian__s8,C1__lamarckian,C1,C1,lamarckian,8,0.5,0.0,6.0,0,3.0,0.4866836920831813,1800,0,50,493,473,443,473,0
C1__lamarckian__s9,C1__lamarckian,C1,C1,lamarckian,9,0.5,0.0,6.0,0,3.0,0.4707062600321027,1800,0,50,444,424,394,424,0
C1__lamarckian__s10,C1__lamarckian,C1,C1,lamarckian,10,0.5,0.0,6.0,0,3.0,0.4841301727601446,1800,0,50,446,426,396,426,0
C1__lamarckian__s11,C1__lamarckian,C1,C1,lamarckian,11,0.5,0.0,6.0,0,3.0,0.4538269550748752,1800,0,50,513,493,463,493,0
C1__lamarckian__s12,C1__lamarckian,C1,C1,lamarckian,12,0.5,0.0,6.0,0,3.0,0.4983108108108108,1800,0,50,452,432,402,432,0
C1__lamarckian__s13,C1__lamarckian,C1,C1,lamarckian,13,0.5,0.0,6.0,0,3.0,0.4780469341408024,1800,0,50,507,487,457,487,0
C1__lamarckian__s14,C1__lamarckian,C1,C1,lamarckian,14,0.5,0.0,6.0,0,3.0,0.4738920579201404,1800,0,50,451,431,401,431,0
C1__lamarckian__s15,C1__lamarckian,C1,C1,lamarckian,15,0.5,0.0,6.0,0,3.0,0.4722739114253814,1800,0,50,482,462,432,462,0
C1__lamarckian__s16,C1__lamarckian,C1,C1,lamarckian,16,0.5,0.0,6.0,0,3.0,0.458398133748056,1800,0,50,452,432,402,432,0
C1__lamarckian__s17,C1__lamarckian,C1,C1,lamarckian,17,0.5,0.0,6.0,0,3.0,0.4899011602922217,1800,0,50,493,473,443,473,0
C1__lamarckian__s18,C1__lamarckian,C1,C1,lamarckian,18,0.5,0.0,6.0,0,3.0,0.4779270633397313,1800,0,50,571,551,521,551,0
C1__lamarckian__s19,C1__lamarckian,C1,C1,lamarckian,19,0.5,0.0,6.0,0,3.0,0.4991896272285251,1800,0,50,523,503,473,503,0
C1__lamarckian__s20,C1__lamarckian,C1,C1,lamarckian,20,0.5,0.0,6.0,0,3.0,0.4695794201714985,1800,0,50,597,577,547,577,0
C1__lamarckian__s21,C1__lamarckian,C1,C1,lamarckian,21,0.5,0.0,6.0,0,3.0,0.4809384164222874,1800,0,50,519,499,469,499,0
C1__lamarckian__s22,C1__lamarckian,C1,C1,lamarckian,22,0.5,0.0,6.0,0,3.0,0.4638314785373609,1800,0,50,503,483,453,483,0
C1__lamarckian__s23,C1__lamarckian,C1,C1,lamarckian,23,0.5,0.0,6.0,0,3.0,0.4770387965162312,1800,0,50,488,468,438,468,0
C1__lamarckian__s24,C1__lamarckian,C1,C1,lamarckian,24,0.5,0.0,6.0,0,3.0,0.4628297362110312,1800,0,50,525,505,475,505,0
C1__lamarckian__s25,C1__lamarckian,C1,C1,lamarckian,25,0.5,0.0,6.0,0,3.0,0.463718334048948,1800,0,50,513,493,463,493,0
C1__lamarckian__s26,C1__lamarckian,C1,C1,lamarckian,26,0.5,0.0,6.0,0,3.0,0.4723618090452261,1800,0,50,448,428,398,428,0
C1__lamarckian__s27,C1__lamarckian,C1,C1,lamarckian,27,0.5,0.0,6.0,0,3.0,0.48896911351785,1800,0,50,505,485,455,485,0
C1__lamarckian__s28,C1__lamarckian,C1,C1,lamarckian,28,0.5,0.0,6.0,0,3.0,0.4829745596868884,1800,0,50,440,420,390,420,0
C1__lamarckian__s29,C1__lamarckian,C1,C1,lamarckian,29,0.5,0.0,6.0,0,3.0,0.4730878186968839,1800,0,50,520,500,470,500,0
C1__lamarckian__s30,C1__lamarckian,C1,C1,lamarckian,30,0.5,0.0,6.0,0,3.0,0.4753492193919474,1800,0,50,507,487,457,487,0
C1_p3__baldwinian__s1,C1_p3__baldwinian,C1_p3,C1,baldwinian,1,0.5,0.0,3.0,0,1.5,0.4858736059479553,1800,0,50,500,480,450,0,0
C1_p3__baldwinian__s2,C1_p3__baldwinian,C1_p3,C1,baldwinian,2,0.5,0.0,3.0,0,1.5,0.4803695150115473,1800,0,50,469,449,419,0,0
C1_p3__baldwinian__s3,C1_p3__baldwinian,C1_p3,C1,baldwinian,3,0.5,0.0,3.0,0,1.5,0.4523020257826887,1800,0,50,463,443,413,0,0
C1_p3__baldwinian__s4,C1_p3__baldwinian,C1_p3,C1,baldwinian,4,0.5,0.0,3.0,0,1.5,0.4856060606060606,1800,0,50,502,482,452,0,0
C1_p3__baldwinian__s5,C1_p3__baldwinian,C1_p3,C1,baldwinian,5,0.5,0.0,3.0,0,1.5,0.4618488628026412,1800,0,50,469,449,419,0,0
C1_p3__baldwinian__s6,C1_p3__baldwinian,C1_p3,C1,baldwinian,6,0.5,0.0,3.0,0,1.5,0.487842531840988,1800,0,50,477,457,427,0,0
C1_p3__baldwinian__s7,C1_p3__baldwinian,C1_p3,C1,baldwinian,7,0.5,0.0,3.0,0,1.5,0.4903640256959314,1800,0,50,499,479,449,0,0
C1_p3__baldwinian__s8,C1_p3__baldwinian,C1_p3,C1,baldwinian,8,0.5,0.0,3.0,0,1.5,0.4626917712691771,1800,0,50,460,440,410,0,0
C1_p3__baldwinian__s9,C1_p3__baldwinian,C1_p3,C1,baldwinian,9,0.5,0.0,3.0,0,1.5,0.4667961165048543,1800,0,50,465,445,415,0,0
C1_p3__baldwinian__s10,C1_p3__baldwinian,C1_p3,C1,baldwinian,10,0.5,0.0,3.0,0,1.5,0.5007501875468867,1800,0,50,481,461,431,0,0
C1_p3__baldwinian__s11,C1_p3__baldwinian,C1_p3,C1,baldwinian,11,0.5,0.0,3.0,0,1.5,0.4857142857142857,1800,0,50,488,468,438,0,0
C1_p3__baldwinian__s12,C1_p3__baldwinian,C1_p3,C1,baldwinian,12,0.5,0.0,3.0,0,1.5,0.496066089693155,1800,0,50,475,455,425,0,0
C1_p3__baldwinian__s13,C1_p3__baldwinian,C1_p3,C1,baldwinian,13,0.5,0.0,3.0,0,1.5,0.4621698786581013,1800,0,50,469,449,419,0,0
C1_p3__baldwinian__s14,C1_p3__baldwinian,C1_p3,C1,baldwinian,14,0.5,0.0,3.0,0,1.5,0.5070724389198457,1800,0,50,483,463,433,0,0
C1_p3__baldwinian__s15,C1_p3__baldwinian,C1_p3,C1,baldwinian,15,0.5,0.0,3.0,0,1.5,0.4782763532763532,1800,0,50,465,445,415,0,0
C1_p3__baldwinian__s16,C1_p3__baldwinian,C1_p3,C1,baldwinian,16,0.5,0.0,3.0,0,1.5,0.4805771365149833,1800,0,50,483,463,433,0,0
C1_p3__baldwinian__s17,C1_p3__baldwinian,C1_p3,C1,baldwinian,17,0.5,0.0,3.0,0,1.5,0.4854166666666666,1800,0,50,488,468,438,0,0
C1_p3__baldwinian__s18,C1_p3__baldwinian,C1_p3,C1,baldwinian,18,0.5,0.0,3.0,0,1.5,0.4716905901116427,1800,0,50,512,492,462,0,0
C1_p3__baldwinian__s19,C1_p3__baldwinian,C1_p3,C1,baldwinian,19,0.5,0.0,3.0,0,1.5,0.4844868735083532,1800,0,50,484,464,434,0,0
C1_p3__baldwinian__s20,C1_p3__baldwinian,C1_p3,C1,baldwinian,20,0.5,0.0,3.0,0,1.5,0.5018947368421053,1800,0,50,478,458,428,0,0
C1_p3__baldwinian__s21,C1_p3__baldwinian,C1_p3,C1,baldwinian,21,0.5,0.0,3.0,0,1.5,0.4860614724803431,1800,0,50,501,481,451,0,0
C1_p3__baldwinian__s22,C1_p3__baldwinian,C1_p3,C1,baldwinian,22,0.5,0.0,3.0,0,1.5,0.4646105179913009,1800,0,50,499,479,449,0,0
C1_p3__baldwinian__s23,C1_p3__baldwinian,C1_p3,C1,baldwinian,23,0.5,0.0,3.0,0,1.5,0.4802110817941952,1800,0,50,487,467,437,0,0
C1_p3__baldwinian__s24,C1_p3__baldwinian,C1_p3,C1,baldwinian,24,0.5,0.0,3.0,0,1.5,0.4821002386634845,1800,0,50,485,465,435,0,0
C1_p3__baldwinian__s25,C1_p3__baldwinian,C1_p3,C1,baldwinian,25,0.5,0.0,3.0,0,1.5,0.4831556503198294,1800,0,50,480,460,430,0,0
C1_p3__baldwinian__s26,C1_p3__baldwinian,C1_p3,C1,baldwinian,26,0.5,0.0,3.0,0,1.5,0.501131221719457,1800,0,50,467,447,417,0,0
C1_p3__baldwinian__s27,C1_p3__baldwinian,C1_p3,C1,baldwinian,27,0.5,0.0,3.0,0,1.5,0.5187022900763358,1800,0,50,510,490,460,0,0
C1_p3__baldwinian__s28,C1_p3__baldwinian,C1_p3,C1,baldwinian,28,0.5,0.0,3.0,0,1.5,0.4804826117814053,1800,0,50,498,478,448,0,0
C1_p3__baldwinian__s29,C1_p3__baldwinian,C1_p3,C1,baldwinian,29,0.5,0.0,3.0,0,1.5,0.5041289815178922,1800,0,50,487,467,437,0,0
C1_p3__baldwinian__s30,C1_p3__baldwinian,C1_p3,C1,baldwinian,30,0.5,0.0,3.0,0,1.5,0.4918160561184723,1800,0,50,474,454,424,0,0
C1_p3__lamarckian__s1,C1_p3__lamarckian,C1_p3,C1,lamarckian,1,0.5,0.0,3.0,0,1.5,0.4780716437897556,1800,0,47,347,327,300,327,0
C1_p3__lamarckian__s2,C1_p3__lamarckian,C1_p3,C1,lamarckian,2,0.5,0.0,3.0,0,1.5,0.4896851248642779,1800,0,24,330,310,306,310,0
C1_p3__lamarckian__s3,C1_p3__lamarckian,C1_p3,C1,lamarckian,3,0.5,0.0,3.0,0,1.5,0.4795439302481556,1800,0,36,352,332,316,332,0
