population,n_candidates,paradigm,total_welfare_mean,total_welfare_std,supporter_welfare_mean,supporter_welfare_std,loser_welfare_mean,loser_welfare_std,gap_mean,gap_std,lambda_winner_mean,lambda_winner_std,lambda_effective_mean,lambda_effective_std,loser_share_mean,loser_share_std,majority_welfare_mean,majority_welfare_std,minority_welfare_mean,minority_welfare_std,cluster_0_welfare_mean,cluster_0_welfare_std,cluster_1_welfare_mean,cluster_1_welfare_std,cluster_2_welfare_mean,cluster_2_welfare_std,min_utility_mean,min_utility_std,p10_utility_mean,p10_utility_std,gini_utility_mean,gini_utility_std,total_welfare_norm_mean,total_welfare_norm_std,minority_welfare_norm_mean,minority_welfare_norm_std
two_cluster,8,latent_match,0.22823762994974967,0.007509256418196324,0.26933824003618745,0.029401867697277085,0.21799842935566424,0.011150442539555258,0.051339810680523235,0.03407790262279891,0.5192822533111277,0.2186021248293202,0.5192822533111277,0.2186021248293202,0.8312,0.0938254612123872,0.2251331001359884,0.05249070953650794,0.23134215976351094,0.04995440635621019,0.23134215976351094,0.04995440635621019,0.2251331001359884,0.05249070953650794,,,0.13068247728511773,0.018227083241326034,0.16171156125844643,0.021351501414919143,0.13734960472582539,0.04919587488505909,0.09623715303501398,6.320563532266106,0.9300496620760444,1.1537087903285612
two_cluster,8,random_winner,0.23001693851325578,0.009441736236107823,0.30647151819039553,0.046968123352511014,0.21924259304805332,0.013996987499669296,0.08754145570964762,0.04644365708897624,0.5240970456301356,0.23055547014745018,0.5240970456301356,0.23055547014745018,0.8817499999999999,0.10239894007895262,0.2283264576372064,0.06785227909387215,0.2317074193893051,0.06639271799275692,0.2317074193893051,0.06639271799275692,0.2283264576372064,0.06785227909387215,,,0.11608426642567256,0.024504533670974823,0.14716500346150452,0.024234150996202374,0.17467932946693615,0.059658196887387986,0.0,0.0,0.0,0.0
two_cluster,8,utilitarian,0.22677988580242142,0.001749115399286703,,,,,,,,,,,,,0.22641806034753464,0.003104781520167796,0.22714171125730823,0.0032381885775506643,0.22714171125730823,0.0032381885775506643,0.22641806034753464,0.003104781520167796,,,0.1644123116179825,0.008196884533096112,0.20485073716859514,0.002314838035435118,0.039468201367957825,0.0017562464059425816,1.0,0.0,1.0,0.0
two_cluster,8,egalitarian,0.2,1.4097531953874233e-16,,,,,,,,,,,,,0.19999999999999996,3.0687479226744777e-16,0.2,6.268712180394666e-17,0.2,6.268712180394666e-17,0.19999999999999996,3.0687479226744777e-16,,,0.19999999999999982,7.049262740119864e-16,0.1999999999999999,4.547549643313204e-16,1.3322676295501878e-16,6.272435062350304e-16,-0.677172980168045,66.42287046850252,1.0162881859006418,0.7495959724499937
two_cluster,12,party,0.23089339529228284,0.0047217700951264424,0.2937270030762148,0.017365168182135297,0.16747790013731684,0.015620092503962232,0.126249102938898,0.03164720761765735,0.48150228845384296,0.22916381901203925,0.48150228845384296,0.22916381901203925,0.49765,0.00227025117642089,0.25839311069025317,0.05983189719546977,0.20339367989431253,0.058898482499990266,0.20339367989431253,0.058898482499990266,0.25839311069025317,0.05983189719546977,,,0.11749785998784809,0.021751660246070715,0.14619541380214296,0.01891163950471864,0.17601759115740886,0.040180130339185334,3.1725456461288353,22.584871322169416,0.8588343594846617,2.533305188615625
two_cluster,12,individual,0.23072011157324238,0.005149199559550534,0.30170038731546617,0.03217646281946298,0.20719475149398078,0.012961798143857685,0.0945056358214854,0.04117347713032961,0.4972290434265442,0.21915748853605185,0.4972290434265442,0.21915748853605185,0.759825,0.06477842478929088,0.21817180407668385,0.06788492556869527,0.24326841906980085,0.06646801660932589,0.24326841906980085,0.06646801660932589,0.21817180407668385,0.06788492556869527,,,0.11563907365373956,0.022039799823369843,0.143562180285483,0.020122981015373197,0.18169014261361813,0.047394560946526276,0.31303984974099275,5.409271276898834,1.3166904957909684,2.9047573384230483
two_cluster,12,score,0.22895317713975116,0.006545561887991956,0.2704184357551665,0.023583476341862957,0.22086825766418394,0.008804709472406013,0.04955017809098254,0.02548808379302846,0.4838184458527301,0.21771877890894958,0.4838184458527301,0.21771877890894958,0.856625,0.07432981290073712,0.23345602212045072,0.05283267008663826,0.22445033215905166,0.05062459081022142,0.22445033215905166,0.05062459081022142,0.23345602212045072,0.05283267008663826,,,0.12567328599997815,0.019751793610140535,0.15839133252414386,0.019355251280298878,0.14156138259473725,0.04246301360125812,-1.7940932246142551,24.03160061049205,0.6976839422035651,1.720327117619781
two_cluster,12,latent_match,0.22806524289599664,0.007013399739937106,0.26467965109253666,0.022166594443491543,0.2214678006319779,0.010586394982638244,0.04321185046055879,0.02482636927730157,0.4808008075330733,0.20473251392394595,0.4808008075330733,0.20473251392394595,0.8756,0.0789851347732693,0.2318806425397821,0.04770774028293404,0.22424984325221115,0.0468947847155136,0.22424984325221115,0.0468947847155136,0.2318806425397821,0.04770774028293404,,,0.1283385347860718,0.01905552351010539,0.1621386373497545,0.0197547510960346,0.1314761577424184,0.041529525598970746,-1.5951320264652369,24.079914795588422,0.7324486245827316,1.695419701613652
two_cluster,12,random_winner,0.23065413240990754,0.010285074083365849,0.3170654461852186,0.05689496496821425,0.2231423936916477,0.01152767674905866,0.0944421864285832,0.054006245826115844,0.4619044657589788,0.22031636917110614,0.4619044657589788,0.22031636917110614,0.9247,0.06719889819924071,0.23326073162591857,0.06669006663896809,0.2280475331938965,0.06578934022735136,0.2280475331938965,0.06578934022735136,0.23326073162591857,0.06669006663896809,,,0.11822619577269222,0.02265162679590454,0.14988529358132488,0.02393406724338372,0.17133518609210652,0.05972050813885525,0.0,0.0,0.0,0.0
two_cluster,12,utilitarian,0.22650603806544856,0.0017233711428596293,,,,,,,,,,,,,0.22676387588568478,0.0031319851205610944,0.22624820024521228,0.0031955566900762674,0.22624820024521228,0.0031955566900762674,0.22676387588568478,0.0031319851205610944,,,0.1639137781862201,0.007855222383166998,0.20465282365871626,0.001933219075083996,0.03940732767341024,0.0015857996109342788,1.0,0.0,1.0,0.0
