population,n_candidates,paradigm,alloc_public_good,alloc_majority_pork,alloc_minority_pork,alloc_prestige,alloc_periphery_buffer
two_cluster,12,latent_match,0.3053160000592272,0.2339781667669544,0.25226131869767754,0.10625560297587847,0.10218891150026238
two_cluster,12,random_winner,0.26239501882961613,0.2655313304275992,0.2780906148023777,0.10596299379169699,0.08802004214871
two_cluster,12,utilitarian,0.25024458821200285,0.2631162005371393,0.2639178633643452,0.10707587094883862,0.11564547693767402
two_cluster,12,egalitarian,0.2,0.2,0.2,0.2,0.2
three_cluster,6,party,0.2846222118207675,0.24249334197390815,0.27240740005453945,0.10383541201788543,0.09664163413289942
three_cluster,6,individual,0.2911481447455424,0.26319922333389467,0.2511876945849119,0.09740791664730221,0.09705702068834876
three_cluster,6,score,0.3126446945100774,0.23575762322313015,0.24080155187717098,0.1100755636262412,0.10072056676338027
three_cluster,6,latent_match,0.3129518553326681,0.2425007187057476,0.23171533361692018,0.10899096896486939,0.10384112337979472
three_cluster,6,random_winner,0.27669223968613044,0.2322002628261316,0.29803915653964635,0.10719646708201426,0.08587187386607735
three_cluster,6,utilitarian,0.26414686663819853,0.25211422221462876,0.25347376872970345,0.11170800763215605,0.11855713478531324
three_cluster,6,egalitarian,0.2,0.2,0.2,0.2,0.2
three_cluster,8,party,0.28776557453612545,0.2774073164688076,0.23883553656438994,0.09872643502069475,0.09726513740998222
three_cluster,8,individual,0.28656048468507206,0.23927005337570623,0.2753103884775503,0.10181004517744868,0.09704902828422272
three_cluster,8,score,0.30566402914136115,0.23491742930578802,0.24992072095858903,0.11071227527956777,0.0987855453146941
three_cluster,8,latent_match,0.3079915954601888,0.23623006853217063,0.2427646259764806,0.1114741058456541,0.1015396041855059
three_cluster,8,random_winner,0.2818962164316617,0.271465667923571,0.2431162123043358,0.11270527631238353,0.09081662702804794
three_cluster,8,utilitarian,0.2641517511700048,0.2522674618427495,0.25272040295502246,0.11346004519653423,0.11740033883568905
three_cluster,8,egalitarian,0.2,0.2,0.2,0.20000000000000004,0.2
three_cluster,12,party,0.28307793936862835,0.24324586836226605,0.2791414238922527,0.09577378795508086,0.09876098042177205
three_cluster,12,individual,0.27583258129896465,0.26212943359797025,0.2635119050997269,0.0923846286264038,0.10614145137693443
three_cluster,12,score,0.31028368807654166,0.23318528332447144,0.2344321730995892,0.11351445263409214,0.10858440286530557
three_cluster,12,latent_match,0.31265017785219595,0.22422895774347196,0.23692828302122176,0.11757800746381107,0.10861457391929924
three_cluster,12,random_winner,0.27520413224784496,0.26425443086980427,0.2639758530184211,0.10096733140418186,0.09559825245974786
three_cluster,12,utilitarian,0.26400379210093095,0.25248990873148985,0.25247293530664494,0.1127557679925576,0.11827759586837669
three_cluster,12,egalitarian,0.2,0.2,0.2,0.2,0.2
rural_town,6,party,0.27014252869990585,0.45938116929275374,0.08224352898753637,0.1006003110864055,0.08763246193339856
rural_town,6,individual,0.2707362236686663,0.3921169086185523,0.14126017917821124,0.10426472428733115,0.09162196424723902
rural_town,6,score,0.2750184246360298,0.4247399193340115,0.09905325707532718,0.10726494472459834,0.09392345423003315
rural_town,6,latent_match,0.2813304538674054,0.40141164073142227,0.11343819308751456,0.10788099101241669,0.09593872130124112
rural_town,6,random_winner,0.2740661399827366,0.34838826254260746,0.1727358170703711,0.1132370501925909,0.09157273021169399
rural_town,6,utilitarian,0.25138536866033834,0.353331738025403,0.1782270949100654,0.10786925503494318,0.10918654336925009
rural_town,6,egalitarian,0.2,0.2,0.2,0.2,0.2
rural_town,8,party,0.2721895067791031,0.45823297826713927,0.08696871917766266,0.09504219653882248,0.08756659923727252
rural_town,8,individual,0.2720819645503352,0.364200502562057,0.17412154004710512,0.09624861394010771,0.09334737890039507
rural_town,8,score,0.2841800004523566,0.42272428135002926,0.10205342006281892,0.09845581004884,0.09258648808595528
rural_town,8,latent_match,0.28758002301947716,0.40357711952046915,0.1119649237712862,0.10094660025654349,0.09593133343222407
rural_town,8,random_winner,0.27141885106386426,0.36984626002273585,0.17463566878795767,0.0952987929718221,0.08880042715362013
rural_town,8,utilitarian,0.2522347892164671,0.35122356406374494,0.17892929447257028,0.10787809451699543,0.1097342577302223
rural_town,8,egalitarian,0.2,0.2,0.2,0.2,0.20000000000000004
rural_town,12,party,0.2671577089531974,0.4664372127304467,0.08247995427116431,0.09519005677055217,0.08873506727463946
rural_town,12,individual,0.2600903378794753,0.38120581133138737,0.16642063863098325,0.09481331430115654,0.09746989785699758
rural_town,12,score,0.2887955213029155,0.4272321008426582,0.09648401101864096,0.09949866263002212,0.08798970420576321
rural_town,12,latent_match,0.29890794997422054,0.4026574115520971,0.10476870208203332,0.1043247195741452,0.08934121681750387
rural_town,12,random_winner,0.26602297920738494,0.3820431058741369,0.16497132696526007,0.1026284436212248,0.0843341443319933
rural_town,12,utilitarian,0.25091333401136706,0.3527466526399499,0.17887827118358499,0.1080038527736203,0.10945788939147771
rural_town,12,egalitarian,0.2,0.2,0.2,0.2,0.2
