population,n_candidates,paradigm,endpoint,family,n_pairs,delta_mean,delta_sd,ci_low,ci_high,pvalue,effect_size,wilcoxon_stat,pvalue_adjusted
two_cluster,6,score,supporter_welfare,exploratory,100,-0.02126688100526517,0.032205004258817636,-0.027657052542891043,-0.0148767094676393,5.166648052934121e-09,-0.6603595153831523,826.0,
two_cluster,6,score,lambda_winner,exploratory,100,0.06347660308963782,0.21412776464295846,0.02098900904865133,0.1059641971306243,0.007045924306688347,0.2964426551385345,732.0,
two_cluster,6,latent_match,minority_welfare,primary,100,-0.012418283245506544,0.07762039973547498,-0.027819854539910878,0.0029832880488977875,0.02143466529987932,-0.15998736527803523,1856.0,0.08573866119951729
two_cluster,6,latent_match,total_welfare,primary,100,-0.001803471731671305,0.008324424909149116,-0.003455218233365495,-0.00015172522997711517,0.06142153247048362,-0.21664820709586383,1981.0,0.18426459741145085
two_cluster,6,latent_match,loser_welfare,exploratory,100,0.0457364142703529,0.020307328830949087,0.041706999659572024,0.04976582888113378,4.0161556854627e-18,2.2522122259944397,1.0,
two_cluster,6,latent_match,gap,exploratory,100,-0.07013145912302923,0.045439144795432256,-0.07914757125989788,-0.06111534698616059,2.0195637546078604e-17,-1.5434150320997932,55.0,
two_cluster,6,latent_match,loser_share,exploratory,100,0.27309999999999995,0.11467461653202804,0.25034606819604777,0.29585393180395214,8.32208267922838e-18,2.381520935138462,0.0,
two_cluster,6,latent_match,majority_welfare,exploratory,100,0.008811339782163941,0.07830575867820513,-0.006726221595449042,0.024348901159776924,0.07213836661934553,0.1125247993365832,2002.0,
two_cluster,6,latent_match,min_utility,exploratory,100,0.010072995496463835,0.02126299961375229,0.005853955068945561,0.014292035923982108,6.068971053695422e-07,0.4737335126483713,1074.0,
two_cluster,6,latent_match,p10_utility,exploratory,100,0.014948234166271486,0.02345016178234617,0.010295213313673963,0.01960125501886901,3.137569850407762e-09,0.637446952605882,802.0,
two_cluster,6,latent_match,gini_utility,exploratory,100,-0.03914759045750307,0.05527154176345519,-0.05011466346823951,-0.028180517446766633,1.1681027180135773e-10,-0.7082775187463097,651.0,
two_cluster,6,latent_match,supporter_welfare,exploratory,100,-0.02439504485267634,0.030252496320242617,-0.030397796455319454,-0.018392293250033227,3.7942168434494496e-11,-0.806381218741049,602.0,
two_cluster,6,latent_match,lambda_winner,exploratory,100,0.043200933923053145,0.20912077282336297,0.0017068356865562462,0.08469503215955004,0.06420740179453986,0.2065836566104481,955.0,
two_cluster,8,individual,minority_welfare,primary,100,-0.027860320269894503,0.08566439010014226,-0.0448579937682959,-0.010862646771493109,0.008792885656901764,-0.3252263891370218,1763.0,0.026378656970705294
two_cluster,8,individual,total_welfare,primary,100,-0.00044799860128786397,0.005756708853541521,-0.0015902545305423335,0.0006942573279666057,0.9616074190130767,-0.0778220008490191,2511.0,0.9616074190130767
two_cluster,8,individual,loser_welfare,exploratory,100,0.035388099740921164,0.01898858774393504,0.03162035197210097,0.03915584750974136,9.318997235593406e-18,1.8636509580457943,29.0,
two_cluster,8,individual,gap,exploratory,100,-0.0319393424857548,0.031146909038452287,-0.03811956497611652,-0.025759119995393077,1.662711556005802e-14,-1.0254418005434895,293.0,
two_cluster,8,individual,loser_share,exploratory,100,0.20235,0.07523936550245572,0.1874208775543421,0.2172791224456579,3.891068183715535e-18,2.6894166191951148,0.0,
two_cluster,8,individual,majority_welfare,exploratory,100,0.026964323067318774,0.0870295964580779,0.009695763009134436,0.04423288312550311,0.01355983191000595,0.30982934731068723,1807.0,
two_cluster,8,individual,min_utility,exploratory,100,-0.000752945158233924,0.017671158280133874,-0.004259286339594755,0.0027533960231269075,0.4371225373859976,-0.04260870432474106,2299.0,
two_cluster,8,individual,p10_utility,exploratory,100,0.0005592108937288305,0.01636284608785796,-0.0026875327646438954,0.0038059545521015566,0.6673479673381713,0.03417564956158774,2400.0,
two_cluster,8,individual,gini_utility,exploratory,100,-0.0013717734901519706,0.03362414454683385,-0.008043533249393943,0.005299986269090002,0.5224792307772006,-0.04079727554826792,2339.0,
two_cluster,8,individual,supporter_welfare,exploratory,100,0.003448757255166357,0.021364428245840825,-0.0007904088134685463,0.00768792332380126,0.050417247520006904,0.16142520714720052,1956.0,
two_cluster,8,individual,lambda_winner,exploratory,100,-0.007224464275435398,0.17455585913740856,-0.041860133745353086,0.027411205194482292,0.6465711850099514,-0.041387692805821975,590.0,
two_cluster,8,score,minority_welfare,primary,100,-0.03522007880497695,0.08031033853118923,-0.0511553923150999,-0.019284765294853998,3.8604823016963796e-05,-0.43854974900023513,1328.0,0.00019302411508481898
two_cluster,8,score,total_welfare,primary,100,-0.001664375216625006,0.008320533277967146,-0.003315349534263137,-1.3400898986874743e-05,0.23417989735759404,-0.2000322769013241,2179.0,0.46835979471518807
two_cluster,8,score,loser_welfare,exploratory,100,0.05120440268985875,0.01941498049321155,0.04735204934892375,0.05505675603079375,3.896559845095909e-18,2.637365652144867,0.0,
two_cluster,8,score,gap,exploratory,100,-0.07321395354173892,0.04591197598229626,-0.08232388564422899,-0.06410402143924884,1.082004916926409e-17,-1.5946591706262077,34.0,
two_cluster,8,score,loser_share,exploratory,100,0.3085,0.09403080840497402,0.2898422475991476,0.3271577524008524,3.89040967760029e-18,3.280839601754195,0.0,
two_cluster,8,score,majority_welfare,exploratory,100,0.031891328371726944,0.0821417149948446,0.01559263003921186,0.04819002670424203,8.74064479714811e-05,0.38824765679324463,1384.0,
two_cluster,8,score,min_utility,exploratory,100,0.010298832878318004,0.02533931008168136,0.005270964017760328,0.015326701738875681,4.478612595328757e-05,0.40643698842311327,1338.0,
two_cluster,8,score,p10_utility,exploratory,100,0.015761423245450764,0.02577359093242907,0.01064738364231279,0.02087546284858874,6.61356107217926e-09,0.6115338482236594,838.0,
two_cluster,8,score,gini_utility,exploratory,100,-0.03861479015942796,0.05776328937158946,-0.050076279954477894,-0.027153300364378026,1.7760396594324329e-09,-0.6685005403868226,775.0,
two_cluster,8,score,supporter_welfare,exploratory,100,-0.022009550851880163,0.033279290636943695,-0.028612884113739644,-0.015406217590020681,1.2419461244164134e-08,-0.6613587738990784,869.0,
two_cluster,8,score,lambda_winner,exploratory,100,0.017423698363977957,0.2467999514231758,-0.03154676636247902,0.06639416309043493,0.4371327770494121,0.07059846755845747,1421.0,
two_cluster,8,latent_match,minority_welfare,primary,100,-0.035013711706317355,0.07670561193174578,-0.05023376925399529,-0.019793654158639422,1.9213684786277983e-05,-0.4564687097141376,1282.0,0.0001152821087176679
two_cluster,8,latent_match,total_welfare,primary,100,-0.0031911505966840553,0.00866479072527198,-0.0049104330605873985,-0.0014718681327807123,0.00588541063642929,-0.3682894022329533,1724.0,0.02354164254571716
two_cluster,8,latent_match,loser_welfare,exploratory,100,0.05268890369681787,0.01979263495116535,0.04876161551815146,0.05661619187548428,3.896559845095909e-18,2.662045949254253,0.0,
two_cluster,8,latent_match,gap,exploratory,100,-0.08034899673295902,0.04387875268653001,-0.08905549322246711,-0.07164250024345092,5.596247901468035e-18,-1.8311595433665258,12.0,
two_cluster,8,latent_match,loser_share,exploratory,100,0.33332500000000004,0.09368376785007027,0.31473610797434043,0.35191389202565965,3.8895318337748005e-18,3.5579802952998976,0.0,
two_cluster,8,latent_match,majority_welfare,exploratory,100,0.02863141051294925,0.0779205108369239,0.013170290665059493,0.044092530360839,0.0002538168748363472,0.36744382455179936,1461.0,
two_cluster,8,latent_match,min_utility,exploratory,100,0.01413147951201172,0.022017346100431184,0.009762760375869654,0.018500198648153787,8.451646604920486e-09,0.6418339180186194,850.0,
two_cluster,8,latent_match,p10_utility,exploratory,100,0.01812564636480996,0.0241525760740462,0.01333325127774966,0.022918041451870257,6.454390373280757e-11,0.7504643111045765,625.0,
two_cluster,8,latent_match,gini_utility,exploratory,100,-0.044668042227304756,0.054563450770966235,-0.055494614622984974,-0.03384146983162454,5.174036778840668e-12,-0.8186440116260586,518.0,
two_cluster,8,latent_match,supporter_welfare,exploratory,100,-0.027660093036141142,0.031683283912510546,-0.03394674393825401,-0.021373442134028278,5.0502676450860454e-12,-0.873018501255143,517.0,
two_cluster,8,latent_match,lambda_winner,exploratory,100,0.014117078021241274,0.2386141700013406,-0.033229150079297054,0.061463306121779596,0.5250023556473409,0.05916278157815171,1564.0,
two_cluster,12,individual,minority_welfare,primary,100,-0.04022130661356933,0.08413524585924044,-0.056915564719548915,-0.02352704850758975,3.9455162763770626e-06,-0.4780553762315047,1183.0,2.3673097658262375e-05
two_cluster,12,individual,total_welfare,primary,100,-0.0001732837190404879,0.005149305436185796,-0.0011950176325780826,0.0008484501944971067,0.3938231608273898,-0.03365186260321022,2277.0,0.3938231608273898
two_cluster,12,individual,loser_welfare,exploratory,100,0.03971685135666392,0.017883246622179053,0.036168427246951095,0.04326527546637674,6.12472726248735e-18,2.220897144448398,15.0,
two_cluster,12,individual,gap,exploratory,100,-0.031743467117412584,0.04028054283220266,-0.03973600070808851,-0.023750933526736656,5.49431748480872e-11,-0.7880595663679827,618.0,
two_cluster,12,individual,loser_share,exploratory,100,0.262175,0.0647417704687966,0.24932882815600968,0.27502117184399033,3.888215420091603e-18,4.0495494346476,0.0,
two_cluster,12,individual,majority_welfare,exploratory,100,0.039874739175488366,0.08302815730670209,0.023400151456794173,0.05634932689418256,2.0751639472212624e-05,0.48025562012887946,1287.0,
two_cluster,12,individual,min_utility,exploratory,100,-0.0018587863341085358,0.02215143710237223,-0.006254112034161265,0.002536539365944193,0.29749865120626195,-0.08391267462775477,2222.0,
two_cluster,12,individual,p10_utility,exploratory,100,-0.002633233516659948,0.01943468551147346,-0.006489496760721606,0.0012230297274017105,0.07051956353395923,-0.13549143952472975,1999.0,
two_cluster,12,individual,gini_utility,exploratory,100,0.0056725514562092514,0.04256596974847359,-0.0027734604173543414,0.014118563329772845,0.1496812949935662,0.13326494121310764,2106.0,
two_cluster,12,individual,supporter_welfare,exploratory,100,0.007973384239251332,0.028461715348827188,0.00232596243261431,0.013620806045888355,0.027046719679822244,0.28014419164584503,1882.0,
two_cluster,12,individual,lambda_winner,exploratory,100,0.015726754972701228,0.22262312170060947,-0.028446502216642307,0.05990001216204476,0.5423419454494496,0.07064295412158966,598.0,
two_cluster,12,score,minority_welfare,primary,100,-0.024937088569802462,0.08375633547422388,-0.04155616263487384,-0.008318014504731078,0.0010124697245583302,-0.2977337586298398,1569.0,0.0030374091736749907
two_cluster,12,score,total_welfare,primary,100,-0.0019402181525316577,0.007902144230592913,-0.003508175006153984,-0.00037226129890933113,0.014499318987456775,-0.2455305921929597,1814.0,0.02899863797491355
two_cluster,12,score,loser_welfare,exploratory,100,0.053390357526867105,0.017523432121695867,0.049913328420282815,0.056867386633451394,3.896559845095909e-18,3.0467979763373054,0.0,
two_cluster,12,score,gap,exploratory,100,-0.07669892484791543,0.03298496462128158,-0.08324385744281795,-0.07015399225301291,3.896559845095909e-18,-2.3252692773370454,0.0,
two_cluster,12,score,loser_share,exploratory,100,0.358975,0.07444160395229202,0.34420417075345794,0.37374582924654204,3.8930443360697965e-18,4.822236235399484,0.0,
two_cluster,12,score,majority_welfare,exploratory,100,0.021056652264739142,0.08224814941548164,0.0047368350340580255,0.037376469495420256,0.0070980586409156495,0.25601369045241557,1742.0,
two_cluster,12,score,min_utility,exploratory,100,0.008175426012130059,0.022196582803125475,0.003771142425604746,0.012579709598655371,0.000615769688999271,0.36831912752709334,1529.0,
two_cluster,12,score,p10_utility,exploratory,100,0.012195918722000907,0.02152550371079223,0.007924791786561879,0.016467045657439935,9.435936406956077e-07,0.5665799456245126,1099.0,
two_cluster,12,score,gini_utility,exploratory,100,-0.03445620856267161,0.04582892299004532,-0.04354966114965125,-0.025362755975691972,8.691463376884239e-11,-0.7518441698958533,638.0,
two_cluster,12,score,supporter_welfare,exploratory,100,-0.023308567321048353,0.024001206535690763,-0.028070927407712786,-0.01854620723438392,6.181679327962521e-13,-0.9711414835078217,432.0,
two_cluster,12,score,lambda_winner,exploratory,100,0.0023161573988870515,0.2519771760325738,-0.04768158101078371,0.05231389580855782,0.6486436360719643,0.009191933314577806,1525.0,
two_cluster,12,latent_match,minority_welfare,primary,100,-0.02651246815047107,0.07207725693948235,-0.04081415965478813,-0.012210776646154008,0.00011603173720759753,-0.36783403359441835,1404.0,0.0005801586860379876
two_cluster,12,latent_match,total_welfare,primary,100,-0.00282815239628622,0.008027157797095372,-0.004420914653691792,-0.001235390138880648,0.0004191532414062229,-0.3523230099338009,1499.0,0.0016766129656248915
two_cluster,12,latent_match,loser_welfare,exploratory,100,0.053989900494661056,0.018578283541241667,0.05030356598126999,0.05767623500805212,3.896559845095909e-18,2.9060758156053352,0.0,
two_cluster,12,latent_match,gap,exploratory,100,-0.0830372524783392,0.036014353970425246,-0.09018328164319434,-0.07589122331348405,4.0161556854627e-18,-2.3056710262393945,1.0,
two_cluster,12,latent_match,loser_share,exploratory,100,0.37795,0.07881090718237604,0.3623122061998826,0.39358779380011744,3.8871187313247816e-18,4.795656001337318,0.0,
two_cluster,12,latent_match,majority_welfare,exploratory,100,0.020856163357898628,0.07221897671251763,0.006526351575978407,0.035185975139818845,0.002971096177137261,0.2887906241169941,1661.0,
two_cluster,12,latent_match,min_utility,exploratory,100,0.010840674798223713,0.025490340017780826,0.00578283832172548,0.015898511274721944,0.0001858893127699511,0.4252856097902885,1438.0,
two_cluster,12,latent_match,p10_utility,exploratory,100,0.01594322354761153,0.02500141271104764,0.010982400856124643,0.020904046239098414,4.5787998534290124e-08,0.6376929068718795,935.0,
two_cluster,12,latent_match,gini_utility,exploratory,100,-0.04454143341499047,0.053337127327093815,-0.05512467663412474,-0.0339581901958562,5.981559346723431e-12,-0.835092470238168,524.0,
two_cluster,12,latent_match,supporter_welfare,exploratory,100,-0.02904735198367814,0.024953027823250887,-0.033998574063708334,-0.02409612990364795,1.6769992593993554e-15,-1.1640812565684802,209.0,
two_cluster,12,latent_match,lambda_winner,exploratory,100,-0.0007014809207696837,0.2790914787390888,-0.056079285236511706,0.05467632339497233,0.9112242823317804,-0.00251344442309351,1760.0,
three_cluster,6,individual,minority_welfare,primary,100,-0.0007419090500054537,0.00667215994947647,-0.0020658103375501722,0.000581992237539265,0.15460097100352582,-0.1111947338827912,2111.0,0.5023421313439547
three_cluster,6,individual,total_welfare,primary,100,0.0007560411411540399,0.004732168390160245,-0.0001829237325976968,0.0016950060149057765,0.09136948544321029,0.15976632250156214,2034.0,0.5023421313439547
three_cluster,6,individual,loser_welfare,exploratory,100,0.023030702603238723,0.017980455179259513,0.01946299020684607,0.026598414999631375,9.071993454725491e-16,1.2808742811919844,187.0,
three_cluster,6,individual,gap,exploratory,100,-0.01983996267658056,0.04165772453957882,-0.02810575899617554,-0.011574166356985584,7.246950671541695e-07,-0.47626131517891,1084.0,
