run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C0__lamarckian__s10,C0__lamarckian,C0,C0,lamarckian,10,-1.0,6.0,0.0,0,38,223,203,0,36.266666666666666,4.909090909090909,0.01908912443839848,3166.0,0.5410612760581175,0.5410612760581175,,0.5410612760581175,,,,0.0,0.5786163522012578,,,159.0,0.34870550161812297,,,1236.0
C0__lamarckian__s11,C0__lamarckian,C0,C0,lamarckian,11,-1.0,6.0,0.0,0,35,214,194,0,34.93333333333333,5.121212121212121,0.022433523523457864,3097.0,0.4927349047465289,0.4927349047465289,,0.4927349047465289,,,,0.0,0.5149501661129569,,,301.0,0.4842233009708738,,,824.0
C0__lamarckian__s12,C0__lamarckian,C0,C0,lamarckian,12,-1.0,6.0,0.0,0,30,209,189,0,36.06666666666667,4.404761904761905,0.021966197050433,3028.0,0.5409511228533685,0.5409511228533685,,0.5409511228533685,,,,0.0,0.4852941176470588,,,272.0,0.544766708701135,,,793.0
C0__lamarckian__s13,C0__lamarckian,C0,C0,lamarckian,13,-1.0,6.0,0.0,0,30,199,179,0,32.4,4.96969696969697,0.020389474888545027,3385.0,0.5358936484490399,0.5358936484490399,,0.5358936484490399,,,,0.0,0.7682926829268293,,,82.0,0.540241448692153,,,994.0
C0__lamarckian__s14,C0__lamarckian,C0,C0,lamarckian,14,-1.0,6.0,0.0,0,35,226,206,0,35.8,5.393939393939394,0.019829190381759784,3454.0,0.4629415170816445,0.4629415170816445,,0.4629415170816445,,,,0.0,0.6028708133971292,,,209.0,0.5224071702944942,,,781.0
C0__lamarckian__s15,C0__lamarckian,C0,C0,lamarckian,15,-1.0,6.0,0.0,0,32,202,182,0,31.8,5.133333333333334,0.015572610270376598,4087.0,0.4822608270124786,0.4822608270124786,,0.4822608270124786,,,,0.0,0.5396825396825397,,,63.0,0.4534412955465587,,,1235.0
C0__lamarckian__s16,C0__lamarckian,C0,C0,lamarckian,16,-1.0,6.0,0.0,0,39,217,197,0,34.0,5.303030303030303,0.02434844341867751,3505.0,0.5457917261055635,0.5457917261055635,,0.5457917261055635,,,,0.0,0.524390243902439,,,82.0,0.44381568310428454,,,1237.0
C0__lamarckian__s17,C0__lamarckian,C0,C0,lamarckian,17,-1.0,6.0,0.0,0,35,212,192,0,36.0,5.029411764705882,0.018828735545763944,3404.0,0.4835487661574618,0.4835487661574618,,0.4835487661574618,,,,0.0,0.5595238095238095,,,252.0,0.5294943820224719,,,712.0
C0__lamarckian__s18,C0__lamarckian,C0,C0,lamarckian,18,-1.0,6.0,0.0,0,33,223,203,0,36.666666666666664,5.571428571428571,0.023701591366110733,3280.0,0.5161585365853658,0.5161585365853658,,0.5161585365853658,,,,0.0,0.262350936967632,,,587.0,0.4727463312368973,,,954.0
C0__lamarckian__s19,C0__lamarckian,C0,C0,lamarckian,19,-1.0,6.0,0.0,0,34,218,198,0,34.53333333333333,5.461538461538462,0.012632997000323935,3474.0,0.4666090961427749,0.4666090961427749,,0.4666090961427749,,,,0.0,0.2815533980582524,,,412.0,0.41014799154334036,,,946.0
C0__lamarckian__s20,C0__lamarckian,C0,C0,lamarckian,20,-1.0,6.0,0.0,0,34,222,202,0,35.266666666666666,5.138888888888889,0.017798587911304262,3620.0,0.46988950276243097,0.46988950276243097,,0.46988950276243097,,,,0.0,0.4259818731117825,,,331.0,0.3224461431549687,,,1439.0
C0__lamarckian__s21,C0__lamarckian,C0,C0,lamarckian,21,-1.0,6.0,0.0,0,35,215,195,0,34.06666666666667,5.942857142857143,0.019102620891654706,3682.0,0.5027159152634438,0.5027159152634438,,0.5027159152634438,,,,0.0,0.4503311258278146,,,151.0,0.4928571428571429,,,980.0
C0__lamarckian__s22,C0__lamarckian,C0,C0,lamarckian,22,-1.0,6.0,0.0,0,37,225,205,0,36.86666666666667,4.6875,0.016539755338900394,3799.0,0.4603843116609634,0.4603843116609634,,0.4603843116609634,,,,0.0,0.43414634146341463,,,205.0,0.46047008547008544,,,936.0
C0__lamarckian__s23,C0__lamarckian,C0,C0,lamarckian,23,-1.0,6.0,0.0,0,30,215,195,0,35.53333333333333,5.078947368421052,0.017010046545017293,4004.0,0.4500499500499501,0.4500499500499501,,0.4500499500499501,,,,0.0,0.5277777777777778,,,252.0,0.4456681350954479,,,1362.0
C0__lamarckian__s24,C0__lamarckian,C0,C0,lamarckian,24,-1.0,6.0,0.0,0,36,227,207,0,36.733333333333334,4.941176470588236,0.03107035706895793,2736.0,0.5672514619883041,0.5672514619883041,,0.5672514619883041,,,,0.0,0.6779661016949152,,,118.0,0.643979057591623,,,573.0
C0__lamarckian__s25,C0__lamarckian,C0,C0,lamarckian,25,-1.0,6.0,0.0,0,35,210,190,0,37.8,4.621621621621622,0.008343411220645582,3787.0,0.4399260628465804,0.4399260628465804,,0.4399260628465804,,,,0.0,0.44410876132930516,,,331.0,0.3331081081081081,,,1480.0
C0__lamarckian__s26,C0__lamarckian,C0,C0,lamarckian,26,-1.0,6.0,0.0,0,35,230,210,0,37.06666666666667,4.878787878787879,0.015623364036645306,3796.0,0.48998946259220233,0.48998946259220233,,0.48998946259220233,,,,0.0,0.45454545454545453,,,264.0,0.44672897196261685,,,1070.0
C0__lamarckian__s27,C0__lamarckian,C0,C0,lamarckian,27,-1.0,6.0,0.0,0,39,229,209,0,37.4,4.657894736842105,0.014246475899985522,4403.0,0.42334771746536454,0.42334771746536454,,0.42334771746536454,,,,0.0,0.3827893175074184,,,337.0,0.3410909090909091,,,1375.0
C0__lamarckian__s28,C0__lamarckian,C0,C0,lamarckian,28,-1.0,6.0,0.0,0,36,218,198,0,35.06666666666667,5.666666666666667,0.01753207683772194,3841.0,0.5016922676386357,0.5016922676386357,,0.5016922676386357,,,,0.0,0.5915492957746479,,,71.0,0.3604477611940298,,,1340.0
C0__lamarckian__s29,C0__lamarckian,C0,C0,lamarckian,29,-1.0,6.0,0.0,0,35,214,194,0,34.333333333333336,5.185185185185185,0.023563381112663637,3292.0,0.5179222357229648,0.5179222357229648,,0.5179222357229648,,,,0.0,0.5317073170731708,,,205.0,0.510989010989011,,,728.0
C0__lamarckian__s30,C0__lamarckian,C0,C0,lamarckian,30,-1.0,6.0,0.0,0,38,214,194,0,34.53333333333333,4.205882352941177,0.02192099202585396,3466.0,0.49884593190998266,0.49884593190998266,,0.49884593190998266,,,,0.0,0.6027397260273972,,,146.0,0.4826254826254826,,,777.0
C1__baldwinian__s1,C1__baldwinian,C1,C1,baldwinian,1,0.0,6.0,3.0,0,50,687,0,0,48.4,5.72,-0.0008773834691211304,11554.0,0.10593733771853904,0.10591635498129888,0.10595909732016925,0.11078667124699416,0.10101186322400559,-4.2742338870374597e-05,0.00977480802298858,0.4730392156862745,0.09644670050761421,0.12429378531073447,-0.02784708480312026,374.0,0.06736526946107785,0.05090054815974941,0.016464721301328436,2613.0
