run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
C1_p3__baldwinian__s23,C1_p3__baldwinian,C1_p3,C1,baldwinian,23,0.06759172986669647,,,100.0,0.78
C1_p3__baldwinian__s24,C1_p3__baldwinian,C1_p3,C1,baldwinian,24,0.06759172986669647,,,350.0,1.06
C1_p3__baldwinian__s25,C1_p3__baldwinian,C1_p3,C1,baldwinian,25,0.06759172986669647,,,900.0,3.36
C1_p3__baldwinian__s26,C1_p3__baldwinian,C1_p3,C1,baldwinian,26,0.06759172986669647,,,250.0,1.02
C1_p3__baldwinian__s27,C1_p3__baldwinian,C1_p3,C1,baldwinian,27,0.06759172986669647,,,150.0,0.74
C1_p3__baldwinian__s28,C1_p3__baldwinian,C1_p3,C1,baldwinian,28,0.06759172986669647,,,250.0,0.76
C1_p3__baldwinian__s29,C1_p3__baldwinian,C1_p3,C1,baldwinian,29,0.06759172986669647,,,450.0,1.6
C1_p3__baldwinian__s30,C1_p3__baldwinian,C1_p3,C1,baldwinian,30,0.06759172986669647,,,100.0,0.76
C1_p3__lamarckian__s1,C1_p3__lamarckian,C1_p3,C1,lamarckian,1,0.05993114113623804,,,50.0,0.72
C1_p3__lamarckian__s2,C1_p3__lamarckian,C1_p3,C1,lamarckian,2,0.05993114113623804,,,50.0,0.88
C1_p3__lamarckian__s3,C1_p3__lamarckian,C1_p3,C1,lamarckian,3,0.05993114113623804,800.0,3.0,100.0,0.9
C1_p3__lamarckian__s4,C1_p3__lamarckian,C1_p3,C1,lamarckian,4,0.05993114113623804,1400.0,4.756756756756757,50.0,0.78
C1_p3__lamarckian__s5,C1_p3__lamarckian,C1_p3,C1,lamarckian,5,0.05993114113623804,,,100.0,0.72
C1_p3__lamarckian__s6,C1_p3__lamarckian,C1_p3,C1,lamarckian,6,0.05993114113623804,,,50.0,0.82
C1_p3__lamarckian__s7,C1_p3__lamarckian,C1_p3,C1,lamarckian,7,0.05993114113623804,750.0,3.4642857142857144,100.0,0.72
C1_p3__lamarckian__s8,C1_p3__lamarckian,C1_p3,C1,lamarckian,8,0.05993114113623804,,,100.0,0.9
C1_p3__lamarckian__s9,C1_p3__lamarckian,C1_p3,C1,lamarckian,9,0.05993114113623804,,,50.0,0.78
C1_p3__lamarckian__s10,C1_p3__lamarckian,C1_p3,C1,lamarckian,10,0.05993114113623804,,,50.0,0.7
C1_p3__lamarckian__s11,C1_p3__lamarckian,C1_p3,C1,lamarckian,11,0.05993114113623804,,,50.0,0.68
C1_p3__lamarckian__s12,C1_p3__lamarckian,C1_p3,C1,lamarckian,12,0.05993114113623804,,,50.0,0.9
C1_p3__lamarckian__s13,C1_p3__lamarckian,C1_p3,C1,lamarckian,13,0.05993114113623804,,,50.0,0.74
C1_p3__lamarckian__s14,C1_p3__lamarckian,C1_p3,C1,lamarckian,14,0.05993114113623804,800.0,2.325,50.0,0.76
C1_p3__lamarckian__s15,C1_p3__lamarckian,C1_p3,C1,lamarckian,15,0.05993114113623804,,,100.0,0.72
C1_p3__lamarckian__s16,C1_p3__lamarckian,C1_p3,C1,lamarckian,16,0.05993114113623804,,,50.0,0.82
C1_p3__lamarckian__s17,C1_p3__lamarckian,C1_p3,C1,lamarckian,17,0.05993114113623804,,,50.0,0.76
C1_p3__lamarckian__s18,C1_p3__lamarckian,C1_p3,C1,lamarckian,18,0.05993114113623804,1250.0,4.717948717948718,50.0,0.7
C1_p3__lamarckian__s19,C1_p3__lamarckian,C1_p3,C1,lamarckian,19,0.05993114113623804,,,100.0,0.96
C1_p3__lamarckian__s20,C1_p3__lamarckian,C1_p3,C1,lamarckian,20,0.05993114113623804,,,50.0,0.78
C1_p3__lamarckian__s21,C1_p3__lamarckian,C1_p3,C1,lamarckian,21,0.05993114113623804,,,50.0,0.74
C1_p3__lamarckian__s22,C1_p3__lamarckian,C1_p3,C1,lamarckian,22,0.05993114113623804,,,50.0,0.72
C1_p3__lamarckian__s23,C1_p3__lamarckian,C1_p3,C1,lamarckian,23,0.05993114113623804,,,50.0,0.72
C1_p3__lamarckian__s24,C1_p3__lamarckian,C1_p3,C1,lamarckian,24,0.05993114113623804,,,50.0,0.68
C1_p3__lamarckian__s25,C1_p3__lamarckian,C1_p3,C1,lamarckian,25,0.05993114113623804,50.0,0.84,100.0,1.020408163265306
C1_p3__lamarckian__s26,C1_p3__lamarckian,C1_p3,C1,lamarckian,26,0.05993114113623804,,,50.0,0.76
C1_p3__lamarckian__s27,C1_p3__lamarckian,C1_p3,C1,lamarckian,27,0.05993114113623804,,,50.0,0.84
C1_p3__lamarckian__s28,C1_p3__lamarckian,C1_p3,C1,lamarckian,28,0.05993114113623804,,,50.0,0.8
C1_p3__lamarckian__s29,C1_p3__lamarckian,C1_p3,C1,lamarckian,29,0.05993114113623804,,,50.0,0.8
C1_p3__lamarckian__s30,C1_p3__lamarckian,C1_p3,C1,lamarckian,30,0.05993114113623804,950.0,2.441860465116279,50.0,0.76
C1_p9__baldwinian__s1,C1_p9__baldwinian,C1_p9,C1,baldwinian,1,0.06759172986669647,,,150.0,1.4042553191489362
C1_p9__baldwinian__s2,C1_p9__baldwinian,C1_p9,C1,baldwinian,2,0.06759172986669647,,,100.0,1.325
C1_p9__baldwinian__s3,C1_p9__baldwinian,C1_p9,C1,baldwinian,3,0.06759172986669647,,,100.0,1.1136363636363635
C1_p9__baldwinian__s4,C1_p9__baldwinian,C1_p9,C1,baldwinian,4,0.06759172986669647,,,150.0,1.2857142857142858
C1_p9__baldwinian__s5,C1_p9__baldwinian,C1_p9,C1,baldwinian,5,0.06759172986669647,,,450.0,1.9
C1_p9__baldwinian__s6,C1_p9__baldwinian,C1_p9,C1,baldwinian,6,0.06759172986669647,,,150.0,1.318181818181818
C1_p9__baldwinian__s7,C1_p9__baldwinian,C1_p9,C1,baldwinian,7,0.06759172986669647,,,200.0,1.319148936170213
C1_p9__baldwinian__s8,C1_p9__baldwinian,C1_p9,C1,baldwinian,8,0.06759172986669647,,,250.0,1.9555555555555555
C1_p9__baldwinian__s9,C1_p9__baldwinian,C1_p9,C1,baldwinian,9,0.06759172986669647,,,300.0,2.0
C1_p9__baldwinian__s10,C1_p9__baldwinian,C1_p9,C1,baldwinian,10,0.06759172986669647,,,150.0,1.24
C1_p9__baldwinian__s11,C1_p9__baldwinian,C1_p9,C1,baldwinian,11,0.06759172986669647,,,100.0,0.9767441860465116
C1_p9__baldwinian__s12,C1_p9__baldwinian,C1_p9,C1,baldwinian,12,0.06759172986669647,,,250.0,1.4146341463414631
C1_p9__baldwinian__s13,C1_p9__baldwinian,C1_p9,C1,baldwinian,13,0.06759172986669647,,,100.0,0.92
C1_p9__baldwinian__s14,C1_p9__baldwinian,C1_p9,C1,baldwinian,14,0.06759172986669647,,,250.0,1.24
C1_p9__baldwinian__s15,C1_p9__baldwinian,C1_p9,C1,baldwinian,15,0.06759172986669647,,,150.0,1.0
C1_p9__baldwinian__s16,C1_p9__baldwinian,C1_p9,C1,baldwinian,16,0.06759172986669647,,,350.0,2.0869565217391304
C1_p9__baldwinian__s17,C1_p9__baldwinian,C1_p9,C1,baldwinian,17,0.06759172986669647,,,150.0,1.28
C1_p9__baldwinian__s18,C1_p9__baldwinian,C1_p9,C1,baldwinian,18,0.06759172986669647,,,100.0,0.8292682926829268
C1_p9__baldwinian__s19,C1_p9__baldwinian,C1_p9,C1,baldwinian,19,0.06759172986669647,,,400.0,1.2448979591836735
C1_p9__baldwinian__s20,C1_p9__baldwinian,C1_p9,C1,baldwinian,20,0.06759172986669647,,,100.0,1.1333333333333333
C1_p9__baldwinian__s21,C1_p9__baldwinian,C1_p9,C1,baldwinian,21,0.06759172986669647,,,100.0,1.0909090909090908
C1_p9__baldwinian__s22,C1_p9__baldwinian,C1_p9,C1,baldwinian,22,0.06759172986669647,,,500.0,2.510204081632653
C1_p9__baldwinian__s23,C1_p9__baldwinian,C1_p9,C1,baldwinian,23,0.06759172986669647,,,100.0,1.108695652173913
C1_p9__baldwinian__s24,C1_p9__baldwinian,C1_p9,C1,baldwinian,24,0.06759172986669647,,,150.0,1.5833333333333333
C1_p9__baldwinian__s25,C1_p9__baldwinian,C1_p9,C1,baldwinian,25,0.06759172986669647,,,300.0,1.972972972972973
