cell_id,condition,family,inheritance_mode,fidelity,penalty,n_runs,n_extinct,expected_penalty_per_defection,rate_mean,rate_lo,rate_hi,rate_cue0_mean,rate_cue0_lo,rate_cue0_hi,rate_cue1_mean,rate_cue1_lo,rate_cue1_hi,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,realised_enforcement_mean,realised_enforcement_lo,realised_enforcement_hi,population_late_mean,population_late_lo,population_late_hi,mean_generation_end_mean,mean_generation_end_lo,mean_generation_end_hi,eval_heldout_delta_cue_mean,eval_heldout_delta_cue_lo,eval_heldout_delta_cue_hi,eval_train_delta_cue_mean,eval_train_delta_cue_lo,eval_train_delta_cue_hi
C2_p3__baldwinian,C2_p3,C2,baldwinian,1.0,3.0,30,0,1.5,0.12713400598597352,0.12322462540730099,0.13077971607035607,0.18077695121097978,0.174313948594183,0.1871508422095981,0.0844416631973217,0.08194294960424844,0.08679082638438386,0.09633528801365807,0.09067979611377759,0.10189086960933515,0.09633528801365807,0.09067979611377759,0.10189086960933515,0.36944673890944885,0.36264331933164773,0.3765557855901187,48.45111111111111,47.64216666666667,49.13355555555555,4.587252068413643,4.3820401175811865,4.7954806552683165,0.07498075942577456,0.042535944200367326,0.1215994627888778,0.054852528760079705,0.04575469381079307,0.06428958247487362
C2_p3__lamarckian,C2_p3,C2,lamarckian,1.0,3.0,30,0,1.5,0.21658253109676745,0.21062859306872356,0.22272372177141822,0.4690670896587952,0.45055411630323516,0.48605714795937227,0.06500787638105655,0.06313446696262852,0.06698599810722163,0.4040592132777387,0.3856645934159109,0.42076249675536737,0.4040592132777387,0.3856645934159109,0.42076249675536737,0.1874123695181974,0.18152003066924044,0.1935894692160551,38.66444444444445,38.077777777777776,39.23561111111111,4.869878592680311,4.7048688692465435,5.03318979124805,0.5032111032020121,0.45828297105591465,0.5499667974643935,0.40008181576242724,0.3695718612066352,0.43134521948200943
C2_p9__baldwinian,C2_p9,C2,baldwinian,1.0,9.0,30,0,4.5,0.10662933823672413,0.10360317049637852,0.10969127922782246,0.1399791088300541,0.13591523768361322,0.14390567495412857,0.07608142673322278,0.07316032033758284,0.07918113907659546,0.06389768209683135,0.060193325372107025,0.06768377043359446,0.06389768209683135,0.060193325372107025,0.06768377043359446,0.371270925562354,0.3636627047354045,0.3785061626913426,47.533333333333324,46.49111111111111,48.46711111111111,5.465102855036265,5.151859468942257,5.805644096119466,0.047310237233322845,0.02591337592183614,0.073065277832173,0.03991594630582165,0.03187969537983868,0.047986641852752664
C2_p9__lamarckian,C2_p9,C2,lamarckian,1.0,9.0,30,0,4.5,0.18239019950472748,0.1767023152244993,0.18799077967223,0.3842677392209286,0.36852579486769,0.39992050630554826,0.04167463274432014,0.04023165900771816,0.04313579942976011,0.3425931064766086,0.3269367466677957,0.3585691803614845,0.3425931064766086,0.3269367466677957,0.3585691803614845,0.1349556776750638,0.12899823416908637,0.14045205080521356,41.157777777777774,39.997388888888885,42.291222222222224,5.511383355113461,5.221847884384967,5.848300806866471,0.4556643713742587,0.4144989147808396,0.4971451915373264,0.318636378535456,0.2991916587175939,0.3386843980353478
C3_f0.1__baldwinian,C3_f0.1,C3,baldwinian,0.1,6.0,30,0,3.0,0.09880378263198392,0.09586643143867088,0.10165258754387292,0.10319496717238016,0.09973014553903124,0.10652402405565481,0.09441416653952438,0.09144410956780827,0.09728829792791388,0.008780800632855764,0.006155349031180977,0.011250132322737808,0.010206354755415566,0.007475838420461817,0.0129908626671354,0.47056446316935435,0.4638014754691371,0.4771286906502323,49.08444444444445,48.5355,49.566722222222225,4.865799161142943,4.539465977605512,5.183063396434855,0.0063899766853382795,-0.006911315822611063,0.02088480998730529,0.009907587017883041,0.0054303288879090136,0.014531112999395935
C3_f0.1__lamarckian,C3_f0.1,C3,lamarckian,0.1,6.0,30,0,3.0,0.07598686723431272,0.07347900580017121,0.07866987742112694,0.08052479284790295,0.07712415750659783,0.08425012770652678,0.07143011398077587,0.06888721248280745,0.07409877522577943,0.009094678867127082,0.005864670403744063,0.01270390513206282,0.006133159640677405,0.004575237143311203,0.007641420645160332,0.47859332354154377,0.47184047087420955,0.4851042553457114,49.58222222222222,49.131,49.877833333333335,4.036357697053349,3.8668833333333335,4.208405750047055,0.024326983360910645,0.013887042638058417,0.035370069775728,0.0069374624930618484,0.002291166578647071,0.011743644002502964
C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,0.3,6.0,30,0,3.0,0.09889003995285911,0.09535762829343643,0.10246000113713506,0.10865830095427056,0.10481237470555764,0.11267072730287399,0.08904195589482743,0.08565279288273636,0.09258260616290323,0.019616345059443166,0.01703609493752858,0.022085104886600256,0.012932427910100576,0.01050465985553478,0.015530722250944325,0.4658931461867183,0.45693712431857536,0.4749484781176317,49.126666666666665,48.63327777777778,49.53561111111111,4.540460317460317,4.3493876984126985,4.729501190476189,0.0269428172125747,0.012842582086828468,0.04228281279486369,0.009900082142891656,0.005141131646218427,0.014718672019300525
C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,0.3,6.0,30,0,3.0,0.08316929752441293,0.0800118987376927,0.08622549882973732,0.1034135718477625,0.09862913719623917,0.10815066222993633,0.06280015192020677,0.0602538231303355,0.06527009354268835,0.04061341992755571,0.03636413555275014,0.04504102102281441,0.01054527863203496,0.008594395340307703,0.012675894057618504,0.46469961864182635,0.4592642580468055,0.46978413112546946,48.47777777777778,47.8755,49.051166666666674,4.324463448481752,4.111027209785056,4.545522657762701,0.031003622318505914,0.008046956428536402,0.05407031669361799,0.018792353829894137,0.01383573269529618,0.023948430369660843
C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,0.5,6.0,30,0,3.0,0.10107999551562362,0.09848762706198341,0.1036222735576702,0.11796201388583563,0.1147071118277389,0.12110159423144433,0.08459842236070798,0.08201941594654398,0.08754788931306318,0.03336359152512766,0.030226196644594076,0.03655910353096564,0.020786101864216797,0.018053291402503814,0.023587117655173837,0.45916620220608056,0.45229567565535134,0.4657805975704407,48.582222222222214,47.893166666666666,49.180055555555555,4.710173103319968,4.400070106195249,5.0444253620271144,0.03048887594029305,0.013452710861128753,0.048731595175390524,0.026964993847273265,0.01917047387771704,0.0350159231776564
C3_f0.5__lamarckian,C3_f0.5,C3,lamarckian,0.5,6.0,30,0,3.0,0.09187167678977293,0.08820711948290673,0.09614340687477814,0.12770888661460567,0.12179084128111992,0.13441901813607715,0.056310418366360755,0.054222894803727155,0.058529692176130146,0.07139846824824488,0.06633780336582294,0.07705697870155134,0.028163837270326498,0.025041208347250158,0.03163461384245469,0.42753388590108526,0.41942752392726695,0.4356761536098899,47.75333333333333,46.75555555555556,48.6868888888889,4.445668864297913,4.169865304456025,4.728456699130818,0.1293071740582055,0.08702821815839616,0.17907919108345338,0.044285635218512684,0.037992934583812754,0.050280705916445345
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,0.7,6.0,30,0,3.0,0.10063901109018218,0.0980631222718282,0.10325409252666753,0.12404071064984921,0.12043300835302305,0.12763556554676667,0.0779564487172571,0.0755931235435936,0.08035914537598964,0.046084261932592095,0.04270051662248617,0.04947118671066496,0.03100860366992061,0.02773028816795601,0.03422721393246476,0.4346246108068707,0.42774450675033937,0.442160712819614,48.99777777777778,48.311055555555555,49.608944444444454,4.624297093769591,4.363525954749679,4.91161328974734,0.04415153005746184,0.026489482504631606,0.06433203501243763,0.028021523881459794,0.02224625725551915,0.03427438082211002
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,0.7,6.0,30,0,3.0,0.11167426002830229,0.10719314309072525,0.11640647671564479,0.17546213024734414,0.1665854423102542,0.18452117412706914,0.05257491677751839,0.05117473260533933,0.05398515270257869,0.12288721346982576,0.11454426876669821,0.13150331756881173,0.07076226079258666,0.06495386195204912,0.07681532631198766,0.37048169287110955,0.36467471625960035,0.37629761647925597,44.62,43.613333333333344,45.58244444444444,4.861539814295161,4.640459542381101,5.101041730048338,0.21435885647111638,0.1618863738267144,0.266909468188101,0.08434602997491134,0.07339081335021674,0.095370698171391
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,0.9,6.0,30,0,3.0,0.10259102745472438,0.0989116431755183,0.10629648952054076,0.13568117293846196,0.1306406621797699,0.14085724046574755,0.0721732312317745,0.06919307706663357,0.07506988037544918,0.06350794170668744,0.05957819900633677,0.0675553122651588,0.052795749214792895,0.04915535400203123,0.05655261346235168,0.3952054772264609,0.3862905333486679,0.40404560616210283,49.00888888888889,48.15077777777778,49.70222222222222,4.369082780891292,4.159756279103088,4.609496795285093,0.03666104815065716,0.01338522163008852,0.06409271874630053,0.030670695926216993,0.024692763641251662,0.03671626661696526
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,0.9,6.0,30,0,3.0,0.1497504272878164,0.14332565267181352,0.15575147831958802,0.27741570200224813,0.2633284945714097,0.2904167799537045,0.046624483120804625,0.04478437710515016,0.04836862899247555,0.23079121888144355,0.21749912241732405,0.24341235760673938,0.19047050270215585,0.17832581707469025,0.20203678084678223,0.24719825733914907,0.24035815845036795,0.25360606447053424,41.33333333333334,40.27744444444445,42.48455555555555,5.0956428233676085,4.842021359510542,5.370231026549856,0.350766319708469,0.3158790566683707,0.3852315244499711,0.20924290527011305,0.19013344046366004,0.2283968266372147
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,30,0,3.0,0.0901166487094629,0.08728018977320398,0.09277623050948688,0.09338131597060288,0.09030488575620722,0.09671298966217949,0.08708317950013762,0.0840053330772744,0.08986394659132053,0.006298136470465257,0.003856012235448578,0.00878610817266861,0.009367838783047174,0.006874865943125957,0.011985598819623225,0.47170423612362616,0.4647021034526273,0.4787872817473359,49.875555555555565,49.711111111111116,49.99777777777778,4.317333333333334,4.108583333333334,4.536,0.00987997494246858,-0.004851587456443529,0.023692886867187374,-0.0009816502176791435,-0.004581207801045498,0.0026147025456190335
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,30,0,3.0,0.0756624316368331,0.07234072087933209,0.07881914551586794,0.07916992644179453,0.07490941119005219,0.08336625749387817,0.07229612682243662,0.06881664941384177,0.07566282258239368,0.006873799619357922,0.0029193630202171117,0.010822957143926752,0.006608981959871942,0.005079552860354417,0.008074560756592027,0.4723987220701697,0.4675560280696566,0.4775323390886835,49.75555555555555,49.47111111111111,49.944500000000005,3.898905261299338,3.7352451288679753,4.069597703978357,0.04906128732075433,0.02521532568493163,0.07297612824842316,0.0053053335000732785,-4.1677851078467115e-05,0.011026848227604422
