cell_id,condition,family,inheritance_mode,n_agents,share_conditional,share_cooperative,share_defector,share_mixed,fitness_conditional,fitness_conditional_lo,fitness_conditional_hi,n_seeds_conditional,offspring_rate_conditional,fitness_cooperative,fitness_cooperative_lo,fitness_cooperative_hi,n_seeds_cooperative,offspring_rate_cooperative,fitness_defector,fitness_defector_lo,fitness_defector_hi,n_seeds_defector,offspring_rate_defector,fitness_mixed,fitness_mixed_lo,fitness_mixed_hi,n_seeds_mixed,offspring_rate_mixed,cost_mean_diff,cost_ci_lo,cost_ci_hi,cost_n_pairs,cost_relative
C2_p9__baldwinian,C2_p9,C2,baldwinian,4491,0.09686038744154976,0.7490536628813181,0.0006680026720106881,0.15341794700512135,0.2770231422845215,0.2576997499693871,0.2984111354837863,30,1.19843297697182,0.16317720046225834,0.15567290358253796,0.17013969557029388,30,1.0283674018537985,0.2165809561852623,0.1797303929260006,0.2651891276462866,3,0.28565264293419634,0.19531927208807567,0.180296150386274,0.20910503748667453,30,0.8892561047414123,0.1138459418222632,0.09346028912857506,0.13652088840204435,30,0.6976828962609571
C2_p9__lamarckian,C2_p9,C2,lamarckian,4676,0.402480752780154,0.4178785286569718,0.0,0.17964071856287425,0.19460978190917855,0.1904014653220623,0.19895151130091954,30,0.5786331741493697,0.13213676370975935,0.12404441049170892,0.1410186741664409,30,0.6577580174560218,,,,0,,0.16203683126831311,0.15412496418909563,0.16963837533797604,30,0.5532540636763347,0.062473018199419215,0.05310734564202667,0.07113717835314452,30,0.4727905879142179
C3_f0.1__baldwinian,C3_f0.1,C3,baldwinian,6820,0.021114369501466276,0.7511730205278593,0.008651026392961877,0.2190615835777126,0.10496041581023495,0.08579835237030976,0.12380708682638146,30,0.1856764001711575,0.13824967789334683,0.13028865292660702,0.1472080822273821,30,0.6928853389038448,0.21593552643817168,0.19091353419212714,0.24455830561069455,26,0.367936012573645,0.12334159880465083,0.11624982434950329,0.13052783027401724,30,0.3515424164224103,-0.033289262083111865,-0.05683082117714392,-0.011151080517781766,30,-0.24079088349697983
C3_f0.1__lamarckian,C3_f0.1,C3,lamarckian,7579,0.022562343317060297,0.7939042089985486,0.002506927035228922,0.18102652064916216,0.07974912786682943,0.06018311313789837,0.09815325271073692,30,0.20386457311905593,0.14877396695536357,0.13851157674599482,0.1591531311449009,30,0.45220297292275885,0.2196872817750736,0.17701814178196873,0.26780614151847,12,0.5556258548127225,0.11380035865082988,0.10550289139606903,0.12288595478622526,30,0.280438063497034,-0.06902483908853412,-0.09118552947055719,-0.04748731844623659,30,-0.46395777770208635
C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,6580,0.02811550151975684,0.753951367781155,0.005927051671732523,0.21200607902735563,0.12788470410574088,0.11210635756648682,0.14444697105497414,30,0.27577045402974215,0.1380783605779906,0.13174130465345574,0.14496224307706757,30,0.6944754619653204,0.19502690015700164,0.17406688318429994,0.21675184921592483,23,0.26590033792895806,0.13411378308799035,0.12576972466468347,0.1420031005070458,30,0.38293878550514987,-0.010193656472249724,-0.027735378642903326,0.00849730352326547,30,-0.07382515572736725
C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,7444,0.03936055883933369,0.7678667383127351,0.0012090274046211713,0.19156367544331004,0.09306758430949147,0.0790780280175655,0.10666505722171045,30,0.13783844017415428,0.14148031605321876,0.13249784074637663,0.15108996941612413,30,0.4833583864949949,0.1640180039142557,0.1347509032280063,0.19086307839721833,8,0.23719651129720637,0.11210418117685003,0.10519567618799289,0.12009050640321567,30,0.2871092817471211,-0.04841273174372729,-0.06564638664254438,-0.0324491000870908,30,-0.34218704830653984
C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,6091,0.038909867016910196,0.7404367098998522,0.008373009358069283,0.2122804137251683,0.1393151461813743,0.12550106586988638,0.15400504050573016,30,0.29976235922999106,0.14514397194021258,0.13888052953091337,0.15130860850683286,30,0.7438775001784109,0.22367176235570402,0.20311142182110511,0.2456177048010874,22,0.4109284843490041,0.13703310253200346,0.1300062616316975,0.14446072291308143,30,0.42398139241397387,-0.005828825758838283,-0.023785173326490605,0.013269853597136168,30,-0.04015892414215646
C3_f0.5__lamarckian,C3_f0.5,C3,lamarckian,7013,0.06872950235277342,0.7310708683872807,0.0009981462997290746,0.19920148296021675,0.11750620652169756,0.10923964929920241,0.12534264671902123,30,0.21594470632137097,0.13684518219244296,0.12878760962489455,0.14492801433909275,30,0.5044942166113262,0.2668329022809883,0.20555138914797236,0.3213444483721759,7,0.8684604077861479,0.11955293914592047,0.111468296185589,0.1273484419647064,30,0.31677861693623055,-0.01933897567074539,-0.03214094617802738,-0.007378636980953351,30,-0.1413201061294897
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,5720,0.06101398601398601,0.7396853146853147,0.002972027972027972,0.19632867132867132,0.18226855348090637,0.16808576537670836,0.19639655809300086,30,0.5325036212825032,0.1533989625184842,0.14667061335532086,0.16048405122046638,30,0.7455524833710298,0.28030201315600217,0.23282297135295274,0.3284938895104937,13,0.8154321388041759,0.15216935697224374,0.14211947452649326,0.16298011369983276,30,0.4554522187388412,0.028869590962422195,0.015329595280461744,0.042647408222254685,30,0.18819938862978608
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,6391,0.13268659051791581,0.6565482710061024,0.00031294007197621654,0.21045219840400564,0.1466980923735977,0.13792001186602054,0.15557412641399893,30,0.3675506881547034,0.131231033668703,0.12485499970136679,0.13834561765799727,30,0.5221870216000205,0.2643707651767657,0.12369668708983232,0.4050448432636991,2,1.1494252873563218,0.14717341155793845,0.14125987808931745,0.15316894447767343,30,0.4507412341962086,0.015467058704894683,0.005700563981899995,0.025376483823066176,30,0.11786128838961807
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,5268,0.08618071374335612,0.7186788154897494,0.0017084282460136675,0.19343204252088078,0.23145986381210917,0.21670351006827052,0.24797245699315354,30,0.7202361827421914,0.15781298662927723,0.1495599798330715,0.16546654016609402,30,0.7058953543402516,0.2539573597713307,0.20251049107984653,0.32812288870627004,8,0.542166624871697,0.18142998473380975,0.16941277555150594,0.19341526312758092,30,0.5861229708645699,0.07364687718283194,0.057347034319713594,0.09108765681041374,30,0.46667184213323215
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,5354,0.27045199850579005,0.5013074336944341,0.0,0.22824056779977586,0.1752551046275608,0.16885180008416853,0.1817740596256422,30,0.45814388826879954,0.12561913204422565,0.12101828267719641,0.1304379543236913,30,0.4838289602329316,,,,0,,0.15817065419921128,0.15124500105705657,0.1650675292751363,30,0.48368070682384184,0.04963597258333523,0.043390161143145534,0.05569910979214512,30,0.39513067616054154
