run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1350,train,35,4.714285714285714,4,4,23.138883479248793,1.0,0.0,285.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1400,train,30,4.933333333333334,2,7,33.30357565763347,0.9583333333333334,0.0,293.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1450,train,37,4.972972972972973,8,1,45.47798365468419,0.9375,0.0,254.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1500,train,36,4.972222222222222,5,6,45.41729858839765,0.9583333333333334,0.0,304.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1550,eval,34,5.176470588235294,3,5,39.25475930689465,0.9791666666666666,0.0,288.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1600,eval,32,5.1875,3,5,40.06156351512866,0.9583333333333334,0.0,292.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1650,eval,30,5.333333333333333,3,5,46.24808369672823,0.9375,0.0,270.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1700,eval,32,5.59375,7,5,30.294613059533532,1.0,0.0,253.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1750,eval,28,5.535714285714286,1,5,38.40099001303106,0.9791666666666666,0.0,237.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1800,eval,32,6.0,8,4,40.87110605023191,0.9375,0.0,274.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,50,train,50,0.7,30,0,99.12720733341298,0.7708333333333334,0.0,246.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,100,train,50,0.74,4,4,42.62460125028434,0.9791666666666666,0.0,338.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,150,train,50,0.76,8,8,53.36345050172426,0.9375,0.0,426.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,200,train,50,0.78,7,7,33.97735072512524,0.9583333333333334,0.0,314.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,250,train,50,0.92,7,7,47.72955853107612,0.9583333333333334,0.0,364.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,300,train,50,1.0,4,4,31.11401690508429,1.0,0.0,316.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,350,train,47,1.127659574468085,6,9,36.19781247852945,0.9375,0.0,208.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,400,train,48,1.3125,7,6,23.560970540857,1.0,0.0,249.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,450,train,45,1.4222222222222223,3,6,28.488853916673342,1.0,0.0,232.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,500,train,34,1.8235294117647058,3,14,24.783828042642675,1.0,0.0,223.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,550,train,24,2.0833333333333335,1,11,60.40448391751207,0.9166666666666666,0.0,219.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,600,train,32,2.5,9,1,48.49136954845578,0.9375,0.0,270.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
