inheritance_mode,treatment,baseline,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
lamarckian,C2,C4,population_late,-8.197777777777778,-9.088888888888887,-7.295555555555556,30,1.0,-3.12673311129386
lamarckian,C2,C4,eval_heldout_delta_cue,0.44473229175972173,0.39211547363400184,0.49654987489036806,30,1.0,2.9193789248662907
lamarckian,C1,C4,rate,0.0007902223119607166,-0.0027447797165600024,0.004470845190116809,30,0.5333333333333333,0.07836880869755747
lamarckian,C1,C4,delta_cue,-0.0077474672469632026,-0.011895931254128975,-0.0034711167933412575,30,0.7666666666666667,-0.6658214307928184
lamarckian,C1,C4,delta_true,-0.0020225525750947344,-0.004297144061544769,0.00021067471848301762,30,0.6333333333333333,-0.30228804663393344
lamarckian,C1,C4,realised_enforcement,0.007008916286187579,-0.0007319671801014169,0.013989284900529909,30,0.7,0.3357934399997164
lamarckian,C1,C4,population_late,-0.2933333333333335,-0.7533888888888884,0.1644999999999996,30,0.3,-0.22841326615125976
lamarckian,C1,C4,eval_heldout_delta_cue,-0.04624819445797194,-0.07663344331503467,-0.017280511303468436,30,0.6666666666666666,-0.5771305177796997
lamarckian-baldwinian,C1,C1,rate,-0.02182541962407667,-0.02511248139090061,-0.01836521350067264,30,0.9666666666666667,-2.294640990045186
lamarckian-baldwinian,C1,C1,delta_cue,-0.004495437216175652,-0.007276980869432995,-0.001998765420875763,30,0.7,-0.6153340075821675
lamarckian-baldwinian,C1,C1,delta_true,-0.006657325447412438,-0.009212302398723603,-0.004133689211719123,30,0.8333333333333334,-0.9240295110221275
lamarckian-baldwinian,C1,C1,mean_generation_end,-0.6367124085919514,-0.9701112532675077,-0.3169966626253287,30,0.7333333333333333,-0.6865340792243793
lamarckian-baldwinian,C2,C2,rate,0.07558484975644529,0.06887650736284366,0.08235951740605416,30,1.0,3.9577262716633927
lamarckian-baldwinian,C2,C2,delta_cue,0.28014748692926184,0.26294793454982923,0.29731471404327287,30,1.0,5.6812586008259744
lamarckian-baldwinian,C2,C2,delta_true,0.28014748692926184,0.26294793454982923,0.29731471404327287,30,1.0,5.6812586008259744
lamarckian-baldwinian,C2,C2,mean_generation_end,0.37776218041139364,0.12195552822483467,0.6353448939919982,30,0.8333333333333334,0.5301956221497431
lamarckian-baldwinian,C4,C4,rate,-0.014454217072629809,-0.019103727079650953,-0.01014693214572662,30,0.8666666666666667,-1.1621273500149178
lamarckian-baldwinian,C4,C4,delta_cue,0.0005756631488926617,-0.00426742085618196,0.0051256775334985825,30,0.4666666666666667,0.04408119269151458
lamarckian-baldwinian,C4,C4,delta_true,-0.0027588568231752316,-0.005801229258743411,0.00010769540549406915,30,0.6333333333333333,-0.3218669583628929
lamarckian-baldwinian,C4,C4,mean_generation_end,-0.4184280720339955,-0.6849279081548502,-0.15034570653775448,30,0.6666666666666666,-0.5436900209408198
