cell_id,condition,family,inheritance_mode,fidelity,n_agents,n_seeds,auc_classifier,auc_classifier_lo,auc_classifier_hi,auc_rank,auc_rank_lo,auc_rank_hi,positive_rate
A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,0.9,4930,30,0.7319231805426432,0.7182582084637952,0.7459190720911786,0.7271426598867947,0.7139870599105316,0.7406675602375266,0.4995943204868154
A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,0.9,5232,30,0.7288621298140179,0.7164472007273244,0.7418648279049929,0.6435981431593296,0.6316651183355245,0.6558772062281287,0.4996177370030581
A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1.0,4629,30,0.6974019765296442,0.6838433359856051,0.7104698378467666,0.6842150278999933,0.6698849162124465,0.6997461055620339,0.4901706632101966
A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1.0,4610,30,0.7634134671850484,0.744003835393029,0.78173282128988,0.44825260721739213,0.4315578439353711,0.4655263700236958,0.4980477223427332
A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1.0,4856,30,0.693997725196628,0.677314003777497,0.7102925245867732,0.6747919216490543,0.6599468074471897,0.6886918238570454,0.4973228995057661
A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1.0,4597,30,0.7471221091900565,0.7345289687227643,0.7603144453832729,0.45262416470466205,0.4331430146830856,0.4701684768352583,0.4966282358059604
A_f1_move__baldwinian,A_f1_move,A,baldwinian,1.0,4819,30,0.6888112141058906,0.6782027179603334,0.6992172367588306,0.6632531751620135,0.6507302476183552,0.6752574004421185,0.49968873210209586
A_f1_move__lamarckian,A_f1_move,A,lamarckian,1.0,4587,30,0.7281269913933784,0.7066945016624653,0.7485084186366271,0.43568493286105153,0.41458470826528365,0.45591169441975704,0.49945498146936995
C1__baldwinian,C1,C1,baldwinian,0.0,5034,30,0.7919794707890936,0.7806349952848862,0.8043584900245833,0.7838816587026579,0.7719868781489351,0.7967842802816791,0.4978148589590783
C1__lamarckian,C1,C1,lamarckian,0.0,6286,30,0.7880760420858675,0.7774247036547509,0.7989013792448673,0.7890106986385622,0.7788310554762746,0.7993116993200975,0.4949093223035317
C2__baldwinian,C2,C2,baldwinian,1.0,4812,30,0.7024012016290146,0.6886118932223256,0.7157851178863536,0.6771536170785601,0.6608301240563433,0.694194105847114,0.4906483790523691
C2__lamarckian,C2,C2,lamarckian,1.0,4612,30,0.7528553619875933,0.7380136854944093,0.7672629282938794,0.4458342978926503,0.42497826854154375,0.4674682433425881,0.49934952298352125
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,0.7,5113,30,0.7561486277033505,0.7444083151066324,0.7684143008112092,0.7565668699506065,0.7441063929791708,0.7690171518232594,0.49951105026403286
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,0.7,5890,30,0.7711175181639949,0.7585549019045226,0.7842945160188998,0.7622416676277247,0.7481232008766229,0.7767029895175094,0.4923599320882852
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,0.9,5089,30,0.7309892699984709,0.7184731207191961,0.7435552745571861,0.7303719126339705,0.7174210541231048,0.7434180380191173,0.49793672627235214
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,0.9,5246,30,0.7469921601095864,0.7318442749640237,0.7628434646273504,0.6444405618394322,0.6258453716571436,0.6634961846814182,0.4959969500571864
C4__baldwinian,C4,C4,baldwinian,1.0,5243,30,0.7826147895804534,0.7726164138240758,0.7932692298996391,0.7755699490386863,0.7654142882596385,0.786803711853866,0.49246614533663935
C4__lamarckian,C4,C4,lamarckian,1.0,6128,30,0.7726368132176571,0.7593357382956987,0.7861750830986547,0.774026363860733,0.760759838485859,0.7877766015527878,0.49787859007832896
