run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,monitor_policy,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C2__baldwinian__s4,C2__baldwinian,C2,C2,baldwinian,4,1.0,6.0,static,3.0,0,50,597,0,0,0,0.4974471830985916,0.0,0.0,50.0,4.84,-0.0017166105509066236,12700.0,0.0979527559055118,0.14090830599205664,0.06194818352873064,0.14090830599205664,0.06194818352873064,0.07896012246332601,0.07896012246332601,0.3440514469453376,0.10829493087557604,0.08615384615384615,0.02214108472172989,759.0,0.10936555891238671,0.04847494553376906,0.06089061337861765,3491.0
C2__baldwinian__s5,C2__baldwinian,C2,C2,baldwinian,5,1.0,6.0,static,3.0,0,50,601,0,0,0,0.5024823943661971,0.0,0.0,50.0,4.28,-0.0014868720076864897,12464.0,0.10269576379974327,0.14802924915284466,0.06562636721598367,0.14802924915284466,0.06562636721598367,0.08240288193686099,0.08240288193686099,0.3515625,0.0838150289017341,0.04220183486238532,0.04161319403934878,891.0,0.08779857972885732,0.03535083020889127,0.05244774951996605,3416.0
C2__baldwinian__s6,C2__baldwinian,C2,C2,baldwinian,6,1.0,6.0,static,3.0,0,50,568,0,0,0,0.4948591549295774,0.0,0.0,50.0,3.64,0.0011326733976127904,11420.0,0.10227670753064799,0.14085014409221902,0.06578050443081118,0.14085014409221902,0.06578050443081118,0.07506963966140784,0.07506963966140784,0.3304794520547945,0.14590747330960854,0.03875968992248062,0.10714778338712792,668.0,0.11430921052631579,0.043882978723404256,0.07042623180291153,2720.0
C2__baldwinian__s7,C2__baldwinian,C2,C2,baldwinian,7,1.0,6.0,static,3.0,0,50,638,0,0,0,0.4998943661971831,0.0,0.0,40.86666666666667,5.136363636363637,-0.0022210450443291277,11076.0,0.11628746840014445,0.16430539157811885,0.07557557557557558,0.16430539157811885,0.07557557557557558,0.08872981600254327,0.08872981600254327,0.3517080745341615,0.3076923076923077,0.1724137931034483,0.13527851458885942,42.0,0.09607438016528926,0.04009433962264151,0.05598004054264775,2240.0
C2__baldwinian__s8,C2__baldwinian,C2,C2,baldwinian,8,1.0,6.0,static,3.0,0,50,658,0,0,0,0.5063908450704225,0.0,0.0,49.13333333333333,5.32,-0.001203784268199726,12099.0,0.10909992561368709,0.14914950760966875,0.07476205096714768,0.14914950760966875,0.07476205096714768,0.07438745664252107,0.07438745664252107,0.36893939393939396,0.05863192182410423,0.04784688995215311,0.010785031871951123,516.0,0.08292383292383293,0.03004694835680751,0.05287688456702542,3758.0
C2__baldwinian__s9,C2__baldwinian,C2,C2,baldwinian,9,1.0,6.0,static,3.0,0,50,654,0,0,0,0.5013732394366198,0.0,0.0,50.0,4.84,-0.0006222148385590754,10849.0,0.11816757304820721,0.17203647416413373,0.07321609739600947,0.17203647416413373,0.07321609739600947,0.09882037676812426,0.09882037676812426,0.3377535101404056,0.4,0.102803738317757,0.297196261682243,172.0,0.09598853868194843,0.03227808814400993,0.0637104505379385,3007.0
C2__baldwinian__s10,C2__baldwinian,C2,C2,baldwinian,10,1.0,6.0,static,3.0,0,50,571,0,0,0,0.4979049295774649,0.0,0.0,50.0,4.06,0.000379635801116817,12235.0,0.10093992644053944,0.14912442396313363,0.06255506607929516,0.14912442396313363,0.06255506607929516,0.08656935788383847,0.08656935788383847,0.34493927125506074,0.09957627118644068,0.05504587155963303,0.044530399626807646,799.0,0.14613423959218352,0.041203400915631135,0.1049308386765524,2706.0
C2__baldwinian__s11,C2__baldwinian,C2,C2,baldwinian,11,1.0,6.0,static,3.0,0,50,629,0,0,0,0.504330985915493,0.0,0.0,43.06666666666667,6.0,0.0019003781720673101,9231.0,0.1256635250785397,0.16390944710491945,0.08777226655164977,0.16390944710491945,0.08777226655164977,0.07613718055326968,0.07613718055326968,0.35086206896551725,0.18181818181818182,0.05063291139240506,0.13118527042577677,692.0,0.10671462829736211,0.027744270205066344,0.07897035809229577,1663.0
C2__baldwinian__s12,C2__baldwinian,C2,C2,baldwinian,12,1.0,6.0,static,3.0,0,50,575,0,0,0,0.4969190140845069,0.0,0.0,50.0,4.34,-0.001381857439858844,10618.0,0.11084950084761726,0.16506307462048322,0.06817034169331762,0.16506307462048322,0.06817034169331762,0.0968927329271656,0.0968927329271656,0.3440951571792693,0.07586206896551724,0.05725190839694656,0.018610160568570677,552.0,0.06435643564356436,0.03424657534246575,0.030109860301098607,2672.0
C2__baldwinian__s13,C2__baldwinian,C2,C2,baldwinian,13,1.0,6.0,static,3.0,0,50,661,0,0,0,0.5014436619718313,0.0,0.0,46.6,4.659574468085107,0.0004448723825377476,12239.0,0.10842389084075496,0.1482527356159548,0.07409097824433288,0.1482527356159548,0.07409097824433288,0.07416175737162194,0.07416175737162194,0.36699321778447624,0.09375,0.14736842105263157,-0.053618421052631565,255.0,0.11184755592377796,0.04264705882352941,0.06920049710024855,2567.0
C2__baldwinian__s14,C2__baldwinian,C2,C2,baldwinian,14,1.0,6.0,static,3.0,0,50,556,0,0,0,0.5026408450704224,0.0,0.0,50.0,3.98,-1.6812739260816927e-05,10051.0,0.10536265048253905,0.1364662425610507,0.07609115488605639,0.1364662425610507,0.07609115488605639,0.060375087674994304,0.060375087674994304,0.3720491029272899,0.19924812030075187,0.1111111111111111,0.08813700918964076,653.0,0.11922663802363051,0.05631244323342416,0.06291419479020635,2032.0
