run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
A_f0.7_move__baldwinian__s26,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,26,0.06759172986669647,1350.0,3.34,,
A_f0.7_move__baldwinian__s27,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,27,0.06759172986669647,1150.0,3.26,,
A_f0.7_move__baldwinian__s28,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,28,0.06759172986669647,50.0,0.72,,
A_f0.7_move__baldwinian__s29,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,29,0.06759172986669647,550.0,1.871794871794872,,
A_f0.7_move__baldwinian__s30,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,30,0.06759172986669647,150.0,1.08,,
A_f0.7_move__lamarckian__s1,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,1,0.05993114113623804,350.0,0.86,,
A_f0.7_move__lamarckian__s2,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,2,0.05993114113623804,600.0,1.86,,
A_f0.7_move__lamarckian__s3,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,3,0.05993114113623804,100.0,0.86,,
A_f0.7_move__lamarckian__s4,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,4,0.05993114113623804,100.0,0.84,,
A_f0.7_move__lamarckian__s5,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,5,0.05993114113623804,250.0,0.94,,
A_f0.7_move__lamarckian__s6,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,6,0.05993114113623804,150.0,1.0476190476190477,,
A_f0.7_move__lamarckian__s7,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,7,0.05993114113623804,200.0,1.04,,
A_f0.7_move__lamarckian__s8,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,8,0.05993114113623804,400.0,1.1,,
A_f0.7_move__lamarckian__s9,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,9,0.05993114113623804,150.0,1.34,,
A_f0.7_move__lamarckian__s10,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,10,0.05993114113623804,200.0,0.98,,
A_f0.7_move__lamarckian__s11,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,11,0.05993114113623804,350.0,1.06,,
