cell_id,condition,family,inheritance_mode,fidelity,penalty,monitor_policy,n_runs,n_extinct,expected_penalty_per_defection,rate_mean,rate_lo,rate_hi,rate_cue0_mean,rate_cue0_lo,rate_cue0_hi,rate_cue1_mean,rate_cue1_lo,rate_cue1_hi,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,realised_enforcement_mean,realised_enforcement_lo,realised_enforcement_hi,population_late_mean,population_late_lo,population_late_hi,mean_generation_end_mean,mean_generation_end_lo,mean_generation_end_hi,eval_heldout_delta_cue_mean,eval_heldout_delta_cue_lo,eval_heldout_delta_cue_hi,eval_train_delta_cue_mean,eval_train_delta_cue_lo,eval_train_delta_cue_hi,mean_mask_overlap_mean,mean_mask_overlap_lo,mean_mask_overlap_hi,mean_weight_kl_mean,mean_weight_kl_lo,mean_weight_kl_hi,mean_weight_gini_mean,mean_weight_gini_lo,mean_weight_gini_hi
A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,0.9,6.0,adaptive_move,30,0,3.0,0.1013447814358707,0.09832588025102564,0.1042716583298785,0.13524675048798582,0.13110720197497108,0.1391484339231831,0.07240226287541676,0.0698657476240182,0.07499789959020975,0.06284448761256906,0.05977591423651726,0.06595795554863768,0.05303990062444302,0.05000882630198207,0.05608878255691745,0.4135878822498454,0.40630255210616134,0.4209713600578231,49.086666666666666,48.47772222222222,49.61127777777778,4.732136054421769,4.462752721088436,5.025102040816327,0.055958110414142205,0.03369079703195632,0.08059249081289879,0.03719125752675692,0.02927778404713357,0.04563539645487142,0.5378309859154929,0.5365808245305165,0.5390518926056338,0.07018586475996727,0.06912956205920891,0.07128630887316992,0.1295299627326824,0.1280075501113733,0.13101861366318587
A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,0.9,6.0,adaptive_move,30,0,3.0,0.1385509058126279,0.13339966237727388,0.1439869680593255,0.26523732649861953,0.2530062178027554,0.27775138798644683,0.04581221912569966,0.044421353732664724,0.04722148905351098,0.21942510737291998,0.20753891439682176,0.23176530520445232,0.17866898432195988,0.16781406969978552,0.18969290151595067,0.27368957073266215,0.2672386461425428,0.280003332526481,42.673333333333325,41.531111111111116,43.76005555555555,5.020184138077075,4.760327056852768,5.328153090446915,0.3512420294393029,0.3013766874826207,0.40266673710557904,0.20525111851934735,0.18500695606195824,0.22441448620163537,0.5439771126760563,0.542584433685446,0.5454186326291078,0.08345401891937623,0.0817354802118255,0.08548551846913062,0.14786359873993898,0.14572333602439821,0.150340569860168
A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1.0,6.0,adaptive_blind,30,0,3.0,0.09421006557227113,0.09165268604951922,0.09663797282761848,0.1489025567713319,0.14363600244325622,0.15408421748744358,0.06331720652621835,0.06200734790798859,0.06470239153151584,0.08558535024511357,0.08059970872481893,0.09067882801265471,0.08558535024511357,0.08059970872481893,0.09067882801265471,0.4303657405108178,0.4204173997431651,0.4411481383429774,49.82888888888888,49.52661111111111,49.99777777777778,4.165166666666667,4.020666666666666,4.321833333333332,0.0665741391344172,0.035835632018065604,0.10377948021515611,0.044653162680468705,0.03640604491869914,0.05364147819959263,0.5790551643192487,0.5779923415492958,0.5800951144366198,0.7327438361564489,0.7267084129927528,0.7386942653495338,0.4839190683189798,0.4812622097451112,0.4868010192389233
A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1.0,6.0,adaptive_blind,30,0,3.0,0.14937809824914808,0.14277694388749534,0.15542230182231193,0.3751981810973385,0.3557554972917522,0.3949114423359979,0.04033565983331903,0.03916774933026002,0.04147082348690884,0.33486252126401944,0.3157538145859597,0.35414874712655825,0.33486252126401944,0.3157538145859597,0.35414874712655825,0.18377118074446533,0.17579869827433028,0.19206885815955013,45.00222222222223,43.8108888888889,46.10233333333334,4.483248339357126,4.325841091698231,4.658793280786397,0.40687978476486336,0.3614630755201728,0.45109021981489844,0.31380900472061996,0.2888698221501382,0.34216339281839975,0.5793973004694837,0.5778977406103286,0.5807711414319248,0.6691181519782098,0.660777481204101,0.6775623566891942,0.4553101347972949,0.45152878738758867,0.4590788540099674
A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1.0,6.0,adaptive_cells,30,0,3.0,0.10753618700024442,0.10454092177450769,0.11041412606953674,0.15284947289390988,0.14755471183027488,0.15781300817964966,0.07084435748737176,0.06879726946768817,0.0730535936893693,0.08200511540653811,0.07702352564271035,0.08669100050552417,0.08200511540653811,0.07702352564271035,0.08669100050552417,0.36374437620766165,0.35589423521207125,0.3720953711177003,49.117777777777775,48.48655555555555,49.62222222222222,4.248933792988504,4.0618394928442045,4.462219417799357,0.05068772629853146,0.01949602374041574,0.08382363589255126,0.04708710250640322,0.03832556054403493,0.05651990563676685,0.509950117370892,0.5086564553990611,0.5112348591549295,0.019076226670811665,0.01862197065424567,0.019546056238023933,0.03639068161865323,0.035721095258048396,0.037099949966359125
A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1.0,6.0,adaptive_cells,30,0,3.0,0.17954170852647147,0.17408008723786883,0.18572077443884816,0.39434524102509644,0.3827965511758027,0.4064306732677151,0.04152685947313253,0.04032558766863704,0.04277234822074336,0.3528183815519641,0.34106326983477075,0.36471476638018663,0.3528183815519641,0.34106326983477075,0.36471476638018663,0.14196279046823923,0.1355847247351855,0.14812736795588796,42.63777777777777,41.78883333333334,43.54238888888889,4.839736740171099,4.6370543343474715,5.048074117827814,0.474601387713831,0.43540978791703555,0.5113569452250715,0.35550962895217997,0.3326199467040015,0.37844384636890627,0.5046696009389672,0.50379033157277,0.5056356660798123,0.010680218404290233,0.01031741364586779,0.011046704471399887,0.022353419594587986,0.02167260538828565,0.02302114638412706
A_f1_move__baldwinian,A_f1_move,A,baldwinian,1.0,6.0,adaptive_move,30,0,3.0,0.10486248788739944,0.10236625960020256,0.10741001380162293,0.14905792209018157,0.1446888393855595,0.15318041960407805,0.06923358603102268,0.06699174882832984,0.07178880346397438,0.07982433605915891,0.07540699219971021,0.08390737149946828,0.07982433605915891,0.07540699219971021,0.08390737149946828,0.36515085049499574,0.3567135469658956,0.37489725353533243,48.96888888888889,48.219944444444444,49.57116666666667,4.666813725490196,4.342641176470589,5.037174999999999,0.06121906678562918,0.0341552287571592,0.0902356340227494,0.04660752857456258,0.040625045459503906,0.05311909728577419,0.5384372065727699,0.5373748973004695,0.5394999559859155,0.0695063696943389,0.06816951886371876,0.07080196441667656,0.1283482584457197,0.12653294666375467,0.1301738797047746
A_f1_move__lamarckian,A_f1_move,A,lamarckian,1.0,6.0,adaptive_move,30,0,3.0,0.1813228369516782,0.17651818164464686,0.18623027533578065,0.40740026779989147,0.39233955302673057,0.42356866327564663,0.04255906405902342,0.04104351244724285,0.044071500582913654,0.364841203740868,0.3496856875552384,0.3812416574110544,0.364841203740868,0.3496856875552384,0.3812416574110544,0.14501220164599238,0.1405984666303075,0.14937287588331805,41.62888888888889,40.711055555555554,42.600055555555564,4.877704920152132,4.698391117843779,5.065812286303681,0.45309800896234637,0.4186208578812041,0.491957864969283,0.3531758540469277,0.3276203042287801,0.37928080901257155,0.5435076291079813,0.5418855193661973,0.545036649061033,0.08389658812467214,0.08197284469566163,0.08580769359071326,0.14842649218823495,0.14592584758536933,0.15097837412723067
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,static,30,0,3.0,0.09827807357287048,0.09564168189415058,0.10114119482136004,0.10008998420471517,0.09730910855380799,0.10296122038565002,0.0964682146161448,0.09359432908540478,0.09944764434499791,0.003621769588570371,0.0017004292911080477,0.005605733280420609,0.011243754832189645,0.009043195445252688,0.013353895703660678,0.46973895405334726,0.46383612399939034,0.4754777602730138,48.84666666666667,48.16444444444445,49.44444444444444,4.683504799039754,4.440919923653966,4.938638648863801,0.005034596760522022,-0.01362664593574269,0.031197681843083823,0.0026884281583176516,-0.0019079560677837813,0.007709393045765401,0.4997717136150236,0.4985192928403755,0.5010020099765259,0.0,0.0,0.0,0.0,0.0,0.0
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,static,30,0,3.0,0.07645265394879379,0.07397541326955208,0.07886044735040391,0.07600928435842365,0.0730781514474176,0.07880013412021666,0.07688295198602894,0.07436947160311867,0.07968174060006958,-0.0008736676276052814,-0.003477786993339675,0.001682954441460357,0.004586429384777207,0.0025178973756755244,0.0065767543152194415,0.4794076383563572,0.47340330691200966,0.48540294518508637,49.46222222222222,49.093333333333334,49.784444444444446,4.046792390447802,3.8839647000376876,4.223238079881454,0.0028130928627823847,-0.016693915149492002,0.022211815154278936,0.003024267704329271,-0.0004215915190945099,0.006521477414028449,0.4997717136150236,0.4985192928403755,0.5010020099765259,0.0,0.0,0.0,0.0,0.0,0.0
