cell_id,condition,family,inheritance_mode,fidelity,penalty,strategy,n_agents,share,mean_obs_defect_rate,mean_obs_gather_share,mean_obs_move_share,mean_obs_pass_share,mean_obs_mean_energy,mean_obs_log_ticks,smd_vs_cooperative_obs_defect_rate,smd_vs_cooperative_obs_gather_share,smd_vs_cooperative_obs_move_share,smd_vs_cooperative_obs_pass_share,smd_vs_cooperative_obs_mean_energy,smd_vs_cooperative_obs_log_ticks
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,cooperative,1771,0.38399826539462273,0.04829444531930866,0.12254041965993596,0.16485808144356537,0.3595132642606908,15.82620839104517,4.617443529402245,,,,,,
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,conditional,1943,0.42129228100607113,0.03852614524067926,0.109035187267964,0.27701755182528454,0.3583563567597125,12.815032073258163,4.681311301984523,-0.2536768314027317,-0.13207499557705069,0.8662319174245363,-0.005485943078085956,-0.2106684996103284,0.09367055428836873
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,mixed,896,0.194275802254987,0.07451963728718981,0.1105225315174733,0.24241652025900917,0.35294632061236886,13.753143306950168,4.488443034893727,,,,,,
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,defector,2,0.0004336513443191674,0.5454545454545454,0.12198332602018429,0.2549363756033348,0.26371215445370777,10.569394618246136,3.886586840241268,,,,,,
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,cooperative,3458,0.8023201856148492,0.05869701984218442,0.1761381885243279,0.12794691924844845,0.30376081921865833,22.838192223733635,4.745119122684452,,,,,,
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,mixed,769,0.17842227378190256,0.21230735436594103,0.12749447146133033,0.16385446703724563,0.28632345905199924,14.800936951369115,4.194482143119745,,,,,,
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,conditional,74,0.01716937354988399,0.23104965717751416,0.13626400444922573,0.1566884134403512,0.29241666141549716,11.266611685130655,4.1067458999019415,1.5400189752320326,-0.31690325647319806,0.35666336730199083,-0.06452487101525842,-0.5993724765648997,-0.9500191308821198
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,defector,9,0.0020881670533642693,0.6092390390636004,0.17584052673021464,0.26041709063893886,0.22757639709445096,12.95079752409329,3.995933307492388,,,,,,
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,cooperative,4477,0.8273886527444095,0.06175830820742955,0.17753766767040982,0.15364905395521003,0.3433182010653096,27.867605289720057,4.783517179209123,,,,,,
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,mixed,816,0.150803917944927,0.19488645998993928,0.12505388221295607,0.2162312467450305,0.30988467057875807,14.933349973068408,4.118152677156152,,,,,,
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,conditional,114,0.021068194418776567,0.19220823411407023,0.11177457155820365,0.20884617651748275,0.31065569756507816,13.758310300663116,4.059540752324916,1.5686725445028917,-0.5177220265185263,0.5747158650214902,-0.18086985550849347,-0.6274931065149313,-1.0762402500889474
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,defector,4,0.0007392348918868971,0.49615384615384617,0.049049707602339176,0.44674185463659144,0.16547619047619047,11.919327544812802,3.7873826543376072,,,,,,
