population,n_voters,n_candidates,paradigm,trial,seed,winner,total_welfare,supporter_welfare,loser_welfare,gap,lambda_winner,lambda_effective,loser_share,alloc_core_services,alloc_coalition_club,alloc_outgroup_repair,alloc_prestige_project,alloc_buffer_reserve
two_cluster,400,8,score,127,0,6,0.23853871579807148,0.31730448474535766,0.2309858338442221,0.08631865090113555,0.8557350311152102,0.8557350311152102,0.9125,0.18658872428426015,0.13698513138959545,0.5234025654178657,0.07621074182718075,0.076812837081098
two_cluster,400,8,latent_match,127,0,6,0.23853871579807148,0.31730448474535766,0.2309858338442221,0.08631865090113555,0.8557350311152102,0.8557350311152102,0.9125,0.18658872428426015,0.13698513138959545,0.5234025654178657,0.07621074182718075,0.076812837081098
two_cluster,400,8,party,128,0,6,0.23948257982364626,0.31845672296379474,0.15891299944834325,0.15954372351545149,0.5920445921833253,0.5920445921833253,0.495,0.31923610081480663,0.07957882961813058,0.45848925838644217,0.08043913370027406,0.062256677480346585
two_cluster,400,8,individual,128,0,6,0.24159323391410276,0.32897494923462617,0.219060841913213,0.10991410732141316,0.5920445921833253,0.5920445921833253,0.795,0.328350562115674,0.0837010756183746,0.45947089158475274,0.0774010001171171,0.051076470564081655
two_cluster,400,8,score,128,0,6,0.24159323391410276,0.32897494923462617,0.219060841913213,0.10991410732141316,0.5920445921833253,0.5920445921833253,0.795,0.328350562115674,0.0837010756183746,0.45947089158475274,0.0774010001171171,0.051076470564081655
two_cluster,400,8,latent_match,128,0,0,0.22944274041060553,0.2828486473600793,0.21811421469405048,0.06473443266602882,0.6198649809076922,0.6198649809076922,0.825,0.3370253743208781,0.35857696612950707,0.10350280160788669,0.14994078552198306,0.05095407241974506
two_cluster,400,8,party,129,0,7,0.23180840114209048,0.3002437019866071,0.16268530832928726,0.13755839365731984,0.3697366156263403,0.3697366156263403,0.4975,0.288150360976915,0.10769266806704383,0.43148666761573845,0.07602194198700954,0.09664836135329315
two_cluster,400,8,individual,129,0,5,0.22985809659259615,0.32612564140901046,0.19288336484649937,0.13324227656251109,0.5734776708566981,0.5734776708566981,0.7225,0.24423973860512563,0.46705754610417977,0.0775775322106452,0.046854880018402295,0.16427030306164714
two_cluster,400,8,score,129,0,4,0.22169941757289607,0.24143598676192235,0.2192600663248142,0.022175920437108143,0.9052273460446888,0.9052273460446888,0.89,0.43183719044164937,0.17978024839829532,0.17924451027029606,0.13030860434988886,0.07882944653987042
two_cluster,400,8,latent_match,129,0,4,0.22169941757289607,0.24143598676192235,0.2192600663248142,0.022175920437108143,0.9052273460446888,0.9052273460446888,0.89,0.43183719044164937,0.17978024839829532,0.17924451027029606,0.13030860434988886,0.07882944653987042
two_cluster,400,8,party,130,0,7,0.2306772933888273,0.3259158629758213,0.13543872380183328,0.19047713917398804,0.9065998071332223,0.9065998071332223,0.5,0.29754120429766046,0.03819618115019967,0.47573541777080586,0.07880277266939731,0.10972442411193674
